Question ID,P_NUM,Age,Sex,1A_1,1B_1,1C_1,2A_1,2B_1,2C_1,3A_1,3B_1,3C_1,GSQ1_1,HSF1_1,HSF1_2,HSF1_3,HSF2_1,HSF3_1,HSF3_2,HSF4_1,HSF6_1,HSF6_2,S1_1,S2_1,S3_1,S4_1,S5_1,mental-model_open,SART1_1,SART2_1,SART3_1,SART4_1,SART5_1,SART6_1,SART7_1,SART8_1,SART9_1,CQQ1_1,CQQ2_1,SART10_1,CQQ_open,NATX1-3_1,NATX1-3_2,NATX1-3_4,NATX4-6_5,NATX4-6_6,NATX4-6_7
Question Text,נא הזן מספר משתתף,מהו גילך?,מהו מינך?,"ביחס לסבב ההליכה האחרון   שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה התאמצת לוודא שהתנועה מסונכרנת?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך עצירות בתנועה שלך או של הרובוט (אם היו) השפיעו לרעה על סנכרון התנועה המשותפת הכללית?","ביחס לסבב ההליכה האחרון שזה עתה ביצעת (הלוך-חזור), באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?",אנא דרג/י את מצבך הרגשי בעת ההליכה שלך עם ה-Go1 על כל אחת מהסקלות הבאות:,"אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""אני והרובוט הלכנו יחד בצורה שוטפת ורציפה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""הרציפות של ההליכה המשותפת השתפרה עם הזמן"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס להליכה שלך עם ה-Go1: - ""הרובוט תרם לשטף ולרציפות ההליכה המשותפת"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""סמכתי על הרובוט שיעשה את הדבר הנכון בזמן הנכון"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הרובוט היה בעל תבונה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הרובוט היה מחויב למשימה"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הביצועים של הרובוט  בתנועה המשותפת השתפרו עם הזמן"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""לרובוט הייתה תרומה משמעותית להצלחת ההליכה המשותפת"".","אנא דרג/י את מידת הסכמתך לגבי כל אחד מההיגדים הבאים, ביחס לאינטראקציה שלך עם ה-Go1: - ""הייתי מחויב להצלחת ההליכה המשותפת"".",באיזו מידה לדעתך ה-Go1התחיל לנוע בעיכוב (Delay) ביחס לתחילת התנועה שלך?,באיזו מידה לדעתך ה-Go1 סטה במסלול התנועה ביחס לתנועה שלך?,באיזו מידה לדעתך ה-Go1 התעכב (Delay) בשינוי כיוון התנועה ביחס לשינויים בתנועה שלך?,באיזו מידה לדעתך ה-Go1 סטה בהאצת התנועה ביחס להאצות בתנועה שלך?,"באופן כללי, באיזו מידה לדעתך ההליכה המשותפת שלכם הייתה מסונכרנת?",תאר/י בקצרה (1-2 משפטים) איך לדעתך ה-Go1 ניסה להסתנכרן איתך?,באיזו מידה התנועה המשותפת שלך עם ה-Go1הייתה לא יציבה? (השתנתה בפתאומיות פעמים רבות),באיזו מידה התנועה המשותפת שלך עם ה-Go1 הייתה מורכבת?,באיזו מידה היו שינויים במצב ההליכה שלך עם הרובוט?,באיזו מידה היית במצב של דריכות ומוכוונות לפעולה בעת ההליכה?,באיזו מידה תשומת הלב שלך הושקעה בהליכה המשותפת?,באיזו מידה נדרשת לחלק את הקשב שלך בין גורמים שונים של ההליכה המשותפת?,באיזו מידה היו לך מספיק משאבים מנטאליים על מנת להתמודד עם המטלה?,כמה מידע קלטת שעזר לך להבין את מצב ההליכה המשותפת?,באיזו מידה המידע היה בעל ערך?,באיזו מידה המידע סופק בעקביות?,באיזו מידה המידע היה בהיר וניתן להבנה?,באיזו מידה הליכה מהסוג שביצעת בניסוי מוכרת לך?,תאר/י בקצרה למה התייחסת בשאלות האחרונות בהן נשאלת על 'מידע'?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 1. עד כמה הייתה הפעילות של שמירת תנועה מסונכרנת מאתגרת מבחינה מנטלית (חשיבה, ריכוז, אחריות וכו')",ענה/י ל השאלות הבאות על גבי הסקלות: - 2. עד כמה הייתה הפעילות של שמירת תנועה מסונכרנת מאתגרת מבחינה פיזית?,ענה/י ל השאלות הבאות על גבי הסקלות: - 3. עד כמה חשת לחץ של זמן?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 4. נדרשת לשמור על תנועה מסונכרנת, דרג/י את הצלחתך במשימה זו.",ענה/י ל השאלות הבאות על גבי הסקלות: - 5. מה הייתה רמת המאמץ שנדרשה ממך על מנת להגיע לרמת ביצועיך?,"ענה/י ל השאלות הבאות על גבי הסקלות: - 6. עד כמה הרגשת חסר ביטחון, מיואש, מרוגז ולחוץ בזמן פעילות זו של שמירת תנועה מסונכרנת?"
4/3/2023 16:26:17,400,23,נקבה,5,4,4,5,3,2,2,6,7,6,5,7,5,6,7,7,7,6,7,3,2,3,5,5,"הרובוט חיכה לתזוזה שלי, ברגע שעצרתי הוא גם עצר, לכל אורך הדרך הוא היה קצת מאחוריי אך בכל זאת התנועה הייתה מסונכרנת.",6,5,6,6,7,5,7,6,4,5,3,1,רמזים שקיבלתי מהרובוט בזמן ההליכה,15,2,7,14,12,4
4/3/2023 17:34:18,401,24,זכר,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ט,1,1,1,1,1,1,1,1,1,1,1,1,ע,1,1,1,1,1,1
4/3/2023 17:55:54,403,24,זכר,7,6,5,6,5,6,1,1,1,2,5,7,3,2,3,2,3,5,7,6,5,5,5,5,חיכה תמיד לראות מה אני עושה ואז פעל,5,2,6,7,7,6,7,5,2,1,2,1,קצב ההליכה של הרובוט ואיך שהוא עוקב אחריי,1,1,1,1,1,1
4/20/2023 11:52:50,404,25,נקבה,5,,6,4,5,3,7,2,6,5,5,6,4,4,5,5,5,4,5,5,3,3,5,5,"כשהלכתי הלך יחד איתי, לא תמיד באותו הקצב ולפעמים נשאר קצת מאחור אבל כשהסתובבתי הסתובב יחד איתי והלך מאחוריי. הלך מאחוריי וראה מה אני עושה וניסה להסתנכרן איתי.",6,2,2,4,5,6,7,5,5,6,5,5,הליכה מהירה שלו ותשומת לב שהוא לידי או מלפניי והרעשים שהוא משמיע כשהוא הולך / מסתובב,8,7,4,14,7,5
4/20/2023 13:00:34,405,24,נקבה,3,1,5,3,1,5,1,,6,6,6,7,5,6,6,6,7,6,7,5,2,2,3,6,"ייתכן שבאמצעות מצלמה או אמצעי זיהוי של הרגליים שלי, ראיתי שהוא מנסה תמיד ללכת מצד ימין שלי. ייתכן גם שמתקנים את ההליכה שלו באמצעות שלט רחוק ששולט על ההליכה של הרובוט",6,6,4,5,5,4,4,5,5,6,6,2,הרעש של הרובוט בזמן ההליכה,8,1,1,15,6,2
5/4/2023 12:34:13,406,27,זכר,5,6,6,6,7,4,7,3,6,5,5,7,4,3,3,4,5,3,7,5,3,5,2,6,התאים את עצמו למהירות והאיץ בהתאם לקצב ההליכה.,2,3,2,5,6,6,7,7,5,6,5,7,דפוסי ההתנהגות החוזרים של הרובוט.,9,2,5,16,13,8
5/28/2023 12:45:39,407,24,נקבה,3,3,6,5,5,5,3,3,6,6,5,5,4,5,3,4,3,3,6,2,3,3,5,5,"לא הרגשתי שהוא מסתכרן איתי כמו שאני איתו, הייתי צריכה צריכה להאט לפני העיכובים שלו",3,4,6,5,6,5,7,6,6,6,6,5,עצירות של הרובוט או האטה שלו,4,2,2,13,8,3
5/28/2023 14:36:29,408,25,זכר,3,4,3,4,6,4,5,6,3,3,2,2,3,2,3,6,2,4,3,2,1,2,3,2,"הוא ניסה לעקוב אחראי אך לא היה בקצב מספק, לא צפה שינויים בתנוע. לפעמים סתם עצר",2,5,6,5,6,5,6,6,7,5,6,1,"התייחסתי להשתקפות הרובות בזכוכיות, לראיה שלי את הרובוט",8,1,1,8,4,1
6/1/2023 14:02:35,2101,24,זכר,5,5,5,5,5,5,5,4,3,5,3,3,4,2,3,4,4,4,6,4,5,5,5,4,"ניסה ליישר קו עם ההליכה שלי, ניסה לזהות האצות שלי ולהאיץ גם",4,4,5,5,5,6,5,3,3,7,5,6,הקולות שמשמיע הרובוט כשהוא מגביר או מאט את הליכתו,12,14,5,10,16,2
