pid,run_num,distance_rmse,speed_difference_rmse,direction_difference_rmse,A,B,C
407,1,2.0485513,0.2907718,27.490025,3,3,6
407,2,4.5920005,0.5240583,61.04964,5,5,5
407,3,2.015575,0.38119012,50.502575,3,3,6
408,1,30.922329,0.35525566,43.476074,3,4,3
408,2,2.6924007,0.32396075,39.906544,4,6,4
408,3,3.2773528,0.3709955,56.773315,5,6,3
2101,1,1.9142091,0.29397276,43.215473,5,5,5
2101,2,2.4360921,0.35891625,38.30318,5,5,5
2101,3,3.4330223,0.40552598,26.196072,5,4,3
2102,1,4.0247207,0.6020708,48.227238,3,5,3
2102,2,1.8273845,0.51024544,41.066586,4,3,4
2102,3,2.2231505,0.54403794,54.608112,4,3,5
2103,1,2.6459649,0.30885285,31.642923,6,6,3
2103,2,3.398736,0.3826707,48.05247,4,4,5
2103,3,1.9092021,0.3782375,46.947598,3,3,6
2104,1,4.614388,0.22396067,34.14247,6,6,6
2104,2,2.08535,0.23857172,37.111244,6,7,5
2104,3,1.5846186,0.285411,23.885357,7,6,6
2105,1,2.7195067,0.27020386,35.12628,6,6,3
2105,2,1.9849929,0.34606457,45.934826,6,5,3
2105,3,2.5728335,0.33383462,46.362072,5,4,4
2106,1,2.4935498,0.44814008,53.61372,5,6,4
2106,2,3.4994433,0.4185504,47.137722,2,3,6
2106,3,2.1198263,0.53197193,53.79944,4,4,4
2107,1,1.5083319,0.31375477,32.51059,6,5,3
2107,2,3.079626,0.36712617,49.440838,3,6,6
2107,3,2.4766693,0.40640795,47.872314,2,3,6
2108,1,3.6280065,0.39112148,45.888996,5,5,2
2108,2,2.7716663,0.47178313,51.11885,6,6,1
2108,3,2.2713983,0.47210392,49.421955,3,3,5
2109,1,1.5507749,0.39757437,29.249952,5,6,3
2109,2,4.083663,0.50564843,52.104683,3,6,4
2109,3,2.626914,0.54729,60.08144,3,2,6
2110,1,2.6035247,0.23574264,39.67009,5,4,5
2110,2,1.1437794,0.28015283,51.932674,7,7,3
2110,3,4.2044053,0.24321511,53.421295,6,4,5
2111,1,0.7244174,0.26048207,35.858677,5,4,4
2111,2,2.2556713,0.34807473,54.60117,6,5,3
2111,3,1.7443427,0.3301645,58.554077,6,4,4
