cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
124.604,2023-06-01T11:00:06.800Z,32.7744493,35.0245856,213.468,0.054,0.04,8552,39606.8,1.43,3,MSLV
224.28444444444443,2023-06-01T11:00:06.900Z,32.7744493,35.0245857,213.451,0.063,0.05,8552,39606.9,1.43,3,MSLV
323.9648888888889,2023-06-01T11:00:07.000Z,32.7744493,35.0245857,213.445,0.029,0.06,8552,39607,1.43,3,MSLV
423.6453333333333,2023-06-01T11:00:07.099Z,32.7744493,35.0245857,213.443,0.014,0.03,8552,39607.1,1.43,3,MSLV
523.3257777777777,2023-06-01T11:00:07.199Z,32.7744493,35.0245856,213.434,0.014,0.01,8552,39607.2,1.43,3,MSLV
623.0062222222222,2023-06-01T11:00:07.300Z,32.7744492,35.0245856,213.425,0.049,0.01,8552,39607.3,1.43,3,MSLV
722.6866666666666,2023-06-01T11:00:07.400Z,32.7744492,35.0245856,213.414,0.032,0.05,8552,39607.4,1.43,3,MSLV
822.3671111111111,2023-06-01T11:00:07.500Z,32.7744491,35.0245856,213.414,0.019,0.03,8552,39607.5,1.43,3,MSLV
922.0475555555555,2023-06-01T11:00:07.599Z,32.7744491,35.0245856,213.411,0.032,0.02,8552,39607.6,1.43,3,MSLV
1021.728,2023-06-01T11:00:07.699Z,32.7744491,35.0245855,213.406,0.036,0.03,8552,39607.7,1.43,3,MSLV
1121.8795,2023-06-01T11:00:07.800Z,32.7744491,35.0245855,213.392,0.016,0.04,8552,39607.8,1.43,3,MSLV
1222.031,2023-06-01T11:00:07.900Z,32.774449,35.0245855,213.391,0.003,0.02,8552,39607.9,1.43,3,MSLV
1322.1825,2023-06-01T11:00:08.000Z,32.774449,35.0245854,213.364,0.062,0,8552,39608,1.43,3,MSLV
1422.3339999999998,2023-06-01T11:00:08.099Z,32.7744489,35.0245856,213.358,0.123,0.07,8552,39608.1,1.43,3,MSLV
