cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
44.429,2023-06-01T11:54:30.500Z,32.774441,35.0245859,215.9,0.007,0.07,8552,42870.5,1.53,3,MSLV
144.5199,2023-06-01T11:54:30.599Z,32.774441,35.0245859,215.9,0.003,0.01,8552,42870.6,1.53,3,MSLV
244.6108,2023-06-01T11:54:30.699Z,32.7744409,35.0245859,215.908,0.009,0,8552,42870.7,1.53,3,MSLV
344.7017,2023-06-01T11:54:30.800Z,32.7744409,35.0245858,215.911,0.039,0.02,8552,42870.8,1.53,3,MSLV
444.7926,2023-06-01T11:54:30.900Z,32.7744408,35.0245858,215.904,0.063,0.04,8552,42870.9,1.53,3,MSLV
544.8835,2023-06-01T11:54:31.000Z,32.7744408,35.0245858,215.907,0.038,0.06,8552,42871,1.53,3,MSLV
644.9744000000001,2023-06-01T11:54:31.099Z,32.7744407,35.0245858,215.908,0.041,0.04,8552,42871.1,1.53,3,MSLV
745.0653000000001,2023-06-01T11:54:31.199Z,32.7744408,35.0245858,215.906,0.079,0.04,8552,42871.2,1.53,3,MSLV
845.1562000000001,2023-06-01T11:54:31.300Z,32.7744407,35.0245858,215.909,0.028,0.08,8552,42871.3,1.53,3,MSLV
945.2471000000002,2023-06-01T11:54:31.400Z,32.7744407,35.0245859,215.903,0.07,0.03,8552,42871.4,1.53,3,MSLV
1045.338,2023-06-01T11:54:31.500Z,32.7744407,35.0245859,215.9,0.034,0.07,8552,42871.5,1.53,3,MSLV
1146.1545999999998,2023-06-01T11:54:31.599Z,32.7744406,35.0245859,215.897,0.038,0.04,8552,42871.6,1.53,3,MSLV
1246.9712,2023-06-01T11:54:31.699Z,32.7744405,35.0245859,215.892,0.035,0.04,8552,42871.7,1.53,3,MSLV
1347.7878,2023-06-01T11:54:31.800Z,32.7744405,35.0245859,215.893,0.018,0.04,8552,42871.8,1.53,3,MSLV
1448.6044000000002,2023-06-01T11:54:31.900Z,32.7744403,35.0245858,215.888,0.127,0.03,8552,42871.9,1.53,3,MSLV
1549.4210000000003,2023-06-01T11:54:32.000Z,32.7744403,35.0245857,215.884,0.102,0.13,8552,42872,1.53,3,MSLV
1650.2376000000004,2023-06-01T11:54:32.099Z,32.7744403,35.0245858,215.888,0.049,0.11,8552,42872.1,1.53,3,MSLV
1751.0542000000005,2023-06-01T11:54:32.199Z,32.7744402,35.0245858,215.894,0.085,0.05,8552,42872.2,1.53,3,MSLV
1851.8708000000006,2023-06-01T11:54:32.300Z,32.7744403,35.0245859,215.894,0.072,0.09,8552,42872.3,1.53,3,MSLV
1952.6874000000007,2023-06-01T11:54:32.400Z,32.7744403,35.0245858,215.895,0.092,0.07,8552,42872.4,1.53,3,MSLV
2053.504,2023-06-01T11:54:32.500Z,32.7744401,35.0245858,215.894,0.128,0.09,8552,42872.5,1.53,3,MSLV
2152.9838,2023-06-01T11:54:32.599Z,32.77444,35.0245858,215.891,0.14,0.13,8552,42872.6,1.53,3,MSLV
2252.4636,2023-06-01T11:54:32.699Z,32.7744399,35.0245856,215.89,0.233,0.14,8552,42872.7,1.53,3,MSLV
2351.9434,2023-06-01T11:54:32.800Z,32.7744399,35.0245855,215.895,0.108,0.23,8552,42872.8,1.53,3,MSLV
2451.4232,2023-06-01T11:54:32.900Z,32.7744397,35.0245855,215.89,0.125,0.11,8552,42872.9,1.53,3,MSLV
2550.9030000000002,2023-06-01T11:54:33.000Z,32.7744396,35.0245855,215.892,0.119,0.13,8552,42873,1.53,3,MSLV
2650.3828000000003,2023-06-01T11:54:33.099Z,32.7744395,35.0245854,215.894,0.144,0.12,8552,42873.1,1.53,3,MSLV
2749.8626000000004,2023-06-01T11:54:33.199Z,32.7744395,35.0245852,215.896,0.116,0.14,8552,42873.2,1.53,3,MSLV
2849.3424000000005,2023-06-01T11:54:33.300Z,32.7744395,35.0245851,215.889,0.179,0.12,8552,42873.3,1.53,3,MSLV
2948.8222000000005,2023-06-01T11:54:33.400Z,32.7744394,35.0245849,215.882,0.178,0.18,8552,42873.4,1.53,3,MSLV
3048.302,2023-06-01T11:54:33.500Z,32.7744395,35.0245849,215.868,0.096,0.18,8552,42873.5,1.53,3,MSLV
3148.3857000000003,2023-06-01T11:54:33.599Z,32.7744394,35.0245848,215.884,0.109,0.11,8552,42873.6,1.53,3,MSLV
3248.4694000000004,2023-06-01T11:54:33.699Z,32.7744393,35.0245846,215.877,0.198,0.11,8552,42873.7,1.53,3,MSLV
