cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
133.789,2023-06-08T09:45:13.499Z,32.7744317,35.0245702,213.96,0.23,0.12,8559,35113.499,1.67,3,MSLV
234.82444444444442,2023-06-08T09:45:13.599Z,32.7744318,35.0245701,213.957,0.137,0.24,8559,35113.599,1.67,3,MSLV
335.85988888888886,2023-06-08T09:45:13.699Z,32.7744324,35.0245699,213.962,0.507,0.15,8559,35113.699,1.67,3,MSLV
436.89533333333327,2023-06-08T09:45:13.798Z,32.7744329,35.0245701,213.976,0.351,0.51,8559,35113.799,1.67,3,MSLV
537.9307777777777,2023-06-08T09:45:13.898Z,32.7744335,35.0245701,213.937,0.589,0.35,8559,35113.899,1.67,3,MSLV
638.9662222222222,2023-06-08T09:45:14.000Z,32.7744342,35.0245701,213.905,0.706,0.6,8559,35114,1.67,3,MSLV
740.0016666666667,2023-06-08T09:45:14.099Z,32.7744351,35.0245703,213.9,0.792,0.72,8559,35114.099,1.67,3,MSLV
841.0371111111111,2023-06-08T09:45:14.199Z,32.7744362,35.0245701,213.884,0.974,0.81,8559,35114.199,1.56,3,MSLV
942.0725555555556,2023-06-08T09:45:14.298Z,32.7744371,35.0245695,213.983,0.587,0.99,8559,35114.299,1.56,3,MSLV
1043.108,2023-06-08T09:45:14.398Z,32.7744378,35.0245698,213.828,0.919,0.59,8559,35114.399,1.37,3,MSLV
1142.7217,2023-06-08T09:45:14.499Z,32.7744387,35.0245691,213.802,1.026,0.97,8559,35114.499,1.37,3,MSLV
1242.3354,2023-06-08T09:45:14.599Z,32.7744396,35.0245685,213.798,0.916,1.08,8559,35114.599,1.37,3,MSLV
1341.9490999999998,2023-06-08T09:45:14.699Z,32.7744407,35.0245682,213.693,1.112,0.97,8559,35114.699,1.37,3,MSLV
1441.5627999999997,2023-06-08T09:45:14.798Z,32.7744413,35.024568,213.552,0.985,1.22,8559,35114.799,1.37,3,MSLV
1541.1764999999996,2023-06-08T09:45:14.898Z,32.7744422,35.0245681,213.574,0.674,1.21,8559,35114.899,1.37,3,MSLV
1640.7901999999995,2023-06-08T09:45:15.000Z,32.7744428,35.024568,213.471,0.544,0.93,8559,35115,1.37,3,MSLV
1740.4038999999993,2023-06-08T09:45:15.099Z,32.7744434,35.0245679,213.432,0.55,0.93,8559,35115.099,1.37,3,MSLV
1840.0175999999992,2023-06-08T09:45:15.199Z,32.7744439,35.0245682,213.384,0.46,0.91,8559,35115.199,1.37,3,MSLV
1939.631299999999,2023-06-08T09:45:15.298Z,32.7744443,35.0245683,213.315,0.318,0.86,8559,35115.299,1.37,3,MSLV
2039.245,2023-06-08T09:45:15.398Z,32.7744444,35.0245686,213.242,0.219,0.79,8559,35115.399,1.37,3,MSLV
2138.8709,2023-06-08T09:45:15.499Z,32.7744446,35.0245687,213.209,0.099,0.73,8559,35115.499,1.37,3,MSLV
2238.4968,2023-06-08T09:45:15.599Z,32.7744448,35.0245689,213.2,0.182,0.62,8559,35115.599,1.28,3,MSLV
2338.1227,2023-06-08T09:45:15.699Z,32.7744453,35.024569,213.183,0.374,0.53,8559,35115.699,1.28,3,MSLV
2437.7486,2023-06-08T09:45:15.798Z,32.7744454,35.024569,213.198,0.129,0.58,8559,35115.799,1.28,3,MSLV
2537.3745,2023-06-08T09:45:15.898Z,32.7744456,35.0245688,213.235,0.035,0.38,8559,35115.899,1.28,3,MSLV
2637.0004,2023-06-08T09:45:16.000Z,32.7744458,35.0245686,213.275,0.131,0.28,8559,35116,1.28,3,MSLV
2736.6263,2023-06-08T09:45:16.099Z,32.7744459,35.0245685,213.314,0.12,0.28,8559,35116.099,1.28,3,MSLV
2836.2522,2023-06-08T09:45:16.199Z,32.7744462,35.0245683,213.35,0.1,0.22,8559,35116.199,1.28,3,MSLV
2935.8781,2023-06-08T09:45:16.298Z,32.7744463,35.024568,213.397,0.111,0.18,8559,35116.299,1.28,3,MSLV
3035.504,2023-06-08T09:45:16.398Z,32.7744463,35.0245677,213.446,0.167,0.17,8559,35116.399,1.28,3,MSLV
