cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
49.995,2023-06-08T12:15:03.398Z,32.7744475,35.0246121,216.315,0.279,0.08,8559,44103.399,1.88,3,MSLV
150.4541,2023-06-08T12:15:03.499Z,32.7744474,35.0246121,216.307,0.055,0.28,8559,44103.499,1.88,3,MSLV
250.91320000000002,2023-06-08T12:15:03.599Z,32.7744471,35.024612,216.32,0.087,0.06,8559,44103.599,1.88,3,MSLV
351.3723,2023-06-08T12:15:03.699Z,32.7744469,35.0246122,216.3,0.11,0.09,8559,44103.699,1.88,3,MSLV
451.83140000000003,2023-06-08T12:15:03.798Z,32.7744469,35.0246121,216.318,0.039,0.13,8559,44103.799,1.88,3,MSLV
552.2905000000001,2023-06-08T12:15:03.898Z,32.7744468,35.0246121,216.336,0.022,0.07,8559,44103.899,1.88,3,MSLV
652.7496000000001,2023-06-08T12:15:04.000Z,32.7744467,35.024612,216.342,0.03,0.05,8559,44104,1.88,3,MSLV
753.2087000000001,2023-06-08T12:15:04.099Z,32.7744466,35.024612,216.371,0.045,0.06,8559,44104.099,1.88,3,MSLV
853.6678000000002,2023-06-08T12:15:04.199Z,32.7744464,35.0246121,216.378,0.097,0.06,8559,44104.199,1.88,3,MSLV
954.1269000000002,2023-06-08T12:15:04.298Z,32.7744464,35.024612,216.399,0.097,0.11,8559,44104.299,1.88,3,MSLV
1054.586,2023-06-08T12:15:04.398Z,32.7744463,35.024612,216.426,0.033,0.1,8559,44104.399,1.88,3,MSLV
1154.3259,2023-06-08T12:15:04.499Z,32.7744462,35.0246121,216.44,0.085,0.04,8559,44104.499,1.88,3,MSLV
1254.0658,2023-06-08T12:15:04.599Z,32.7744462,35.024612,216.46,0.083,0.09,8559,44104.599,1.88,3,MSLV
1353.8057000000001,2023-06-08T12:15:04.699Z,32.7744463,35.0246118,216.494,0.108,0.09,8559,44104.699,1.88,3,MSLV
1453.5456000000001,2023-06-08T12:15:04.798Z,32.7744464,35.0246118,216.52,0.075,0.11,8559,44104.799,1.88,3,MSLV
1553.2855000000002,2023-06-08T12:15:04.898Z,32.7744462,35.0246118,216.541,0.083,0.08,8559,44104.899,1.88,3,MSLV
1653.0254000000002,2023-06-08T12:15:05.000Z,32.7744462,35.0246118,216.559,0.067,0.09,8559,44105,1.88,3,MSLV
1752.7653000000003,2023-06-08T12:15:05.099Z,32.7744463,35.0246116,216.586,0.097,0.07,8559,44105.099,1.88,3,MSLV
1852.5052000000003,2023-06-08T12:15:05.199Z,32.7744462,35.0246115,216.613,0.053,0.1,8559,44105.199,1.88,3,MSLV
1952.2451000000003,2023-06-08T12:15:05.298Z,32.7744463,35.0246114,216.653,0.046,0.05,8559,44105.299,1.88,3,MSLV
2051.985,2023-06-08T12:15:05.398Z,32.7744466,35.0246112,216.67,0.05,0.05,8559,44105.399,1.88,3,MSLV
2151.9010000000003,2023-06-08T12:15:05.499Z,32.7744466,35.0246112,216.694,0.064,0.05,8559,44105.499,1.88,3,MSLV
2251.8170000000005,2023-06-08T12:15:05.599Z,32.7744467,35.0246109,216.755,0.036,0.07,8559,44105.599,1.88,3,MSLV
2351.7330000000006,2023-06-08T12:15:05.699Z,32.7744466,35.0246109,216.742,0.077,0.04,8559,44105.699,1.88,3,MSLV
2451.649000000001,2023-06-08T12:15:05.798Z,32.7744469,35.0246105,216.831,0.091,0.09,8559,44105.799,1.95,3,MSLV
2551.565000000001,2023-06-08T12:15:05.898Z,32.774447,35.0246104,216.86,0.035,0.09,8559,44105.899,1.95,3,MSLV
2651.481000000001,2023-06-08T12:15:06.000Z,32.7744471,35.0246102,216.912,0.034,0.04,8559,44106,1.95,3,MSLV
2751.3970000000013,2023-06-08T12:15:06.099Z,32.7744471,35.02461,216.928,0.03,0.03,8559,44106.099,1.95,3,MSLV
2851.3130000000015,2023-06-08T12:15:06.199Z,32.774447,35.0246099,216.97,0.057,0.03,8559,44106.199,1.95,3,MSLV
2951.2290000000016,2023-06-08T12:15:06.298Z,32.7744471,35.0246097,216.994,0.043,0.06,8559,44106.299,1.95,3,MSLV
3051.145,2023-06-08T12:15:06.398Z,32.7744471,35.0246096,217.008,0.002,0.04,8559,44106.399,1.95,3,MSLV
3151.2407,2023-06-08T12:15:06.499Z,32.7744471,35.0246095,217.018,0.035,0.01,8559,44106.499,1.95,3,MSLV
3251.3363999999997,2023-06-08T12:15:06.599Z,32.7744472,35.0246093,217.068,0.041,0.04,8559,44106.599,1.95,3,MSLV
3351.4320999999995,2023-06-08T12:15:06.699Z,32.774447,35.0246092,217.08,0.119,0.04,8559,44106.699,1.95,3,MSLV
3451.5277999999994,2023-06-08T12:15:06.798Z,32.7744469,35.0246092,217.082,0.045,0.12,8559,44106.799,1.95,3,MSLV
3551.6234999999992,2023-06-08T12:15:06.898Z,32.7744468,35.0246092,217.093,0.03,0.05,8559,44106.899,1.95,3,MSLV
3651.719199999999,2023-06-08T12:15:07.000Z,32.7744465,35.0246092,217.131,0.054,0.04,8559,44107,1.95,3,MSLV
3751.814899999999,2023-06-08T12:15:07.099Z,32.7744464,35.0246092,217.133,0.003,0.05,8559,44107.099,1.95,3,MSLV
3851.910599999999,2023-06-08T12:15:07.199Z,32.7744463,35.0246092,217.15,0.04,0.01,8559,44107.199,1.95,3,MSLV
3952.0062999999986,2023-06-08T12:15:07.298Z,32.7744461,35.0246092,217.16,0.036,0.04,8559,44107.299,1.95,3,MSLV
4052.102,2023-06-08T12:15:07.398Z,32.774446,35.0246092,217.175,0.009,0.04,8559,44107.399,1.95,3,MSLV
4152.2244,2023-06-08T12:15:07.499Z,32.774446,35.0246091,217.187,0.051,0.01,8559,44107.499,1.95,3,MSLV
4252.3468,2023-06-08T12:15:07.599Z,32.7744459,35.0246091,217.192,0.051,0.05,8559,44107.599,1.95,3,MSLV
4352.4692000000005,2023-06-08T12:15:07.699Z,32.7744458,35.0246089,217.206,0.063,0.05,8559,44107.699,1.88,3,MSLV
4452.591600000001,2023-06-08T12:15:07.798Z,32.7744457,35.0246088,217.212,0.031,0.06,8559,44107.799,1.88,3,MSLV
4552.714000000001,2023-06-08T12:15:07.898Z,32.7744457,35.0246088,217.214,0.046,0.03,8559,44107.899,1.95,3,MSLV
4652.836400000001,2023-06-08T12:15:08.000Z,32.7744456,35.0246087,217.213,0.007,0.05,8559,44108,1.95,3,MSLV
4752.958800000001,2023-06-08T12:15:08.099Z,32.7744455,35.0246087,217.215,0.021,0.01,8559,44108.099,1.95,3,MSLV
4853.081200000001,2023-06-08T12:15:08.199Z,32.7744454,35.0246086,217.229,0.019,0.02,8559,44108.199,1.95,3,MSLV
4953.203600000002,2023-06-08T12:15:08.298Z,32.7744454,35.0246086,217.212,0.003,0.02,8559,44108.299,1.95,3,MSLV
5053.326,2023-06-08T12:15:08.398Z,32.7744454,35.0246084,217.227,0.015,0.02,8559,44108.399,1.95,3,MSLV
5153.614,2023-06-08T12:15:08.499Z,32.7744453,35.0246083,217.248,0.067,0.02,8559,44108.499,1.95,3,MSLV
5253.902,2023-06-08T12:15:08.599Z,32.7744454,35.0246082,217.238,0.044,0.07,8559,44108.599,1.95,3,MSLV
5354.1900000000005,2023-06-08T12:15:08.699Z,32.7744454,35.0246082,217.253,0.03,0.05,8559,44108.699,1.95,3,MSLV
5454.478000000001,2023-06-08T12:15:08.798Z,32.7744454,35.024608,217.268,0.08,0.03,8559,44108.799,1.95,3,MSLV
5554.766000000001,2023-06-08T12:15:08.898Z,32.7744456,35.0246079,217.261,0.053,0.08,8559,44108.899,1.95,3,MSLV
5655.054000000002,2023-06-08T12:15:09.000Z,32.7744457,35.0246079,217.285,0.086,0.06,8559,44109,1.95,3,MSLV
5755.342000000002,2023-06-08T12:15:09.099Z,32.7744458,35.0246077,217.32,0.033,0.09,8559,44109.099,1.95,3,MSLV
5855.630000000003,2023-06-08T12:15:09.199Z,32.7744459,35.0246078,217.308,0.018,0.03,8559,44109.199,1.71,3,MSLV
5955.918000000003,2023-06-08T12:15:09.298Z,32.7744459,35.0246077,217.362,0.031,0.04,8559,44109.299,1.71,3,MSLV
6056.206,2023-06-08T12:15:09.398Z,32.7744462,35.0246076,217.365,0.028,0.03,8559,44109.399,1.66,3,MSLV
6156.1183,2023-06-08T12:15:09.499Z,32.7744463,35.0246073,217.401,0.013,0.04,8559,44109.499,1.66,3,MSLV
6256.0306,2023-06-08T12:15:09.599Z,32.7744463,35.0246073,217.388,0.035,0.01,8559,44109.599,1.66,3,MSLV
6355.9429,2023-06-08T12:15:09.699Z,32.7744465,35.0246071,217.395,0.051,0.04,8559,44109.699,1.66,3,MSLV
6455.8552,2023-06-08T12:15:09.798Z,32.7744467,35.0246071,217.413,0.051,0.05,8559,44109.799,1.66,3,MSLV
6555.7675,2023-06-08T12:15:09.898Z,32.7744468,35.024607,217.418,0.026,0.05,8559,44109.899,1.66,3,MSLV
6655.6798,2023-06-08T12:15:10.000Z,32.774447,35.0246068,217.452,0.072,0.03,8559,44110,1.66,3,MSLV
6755.5921,2023-06-08T12:15:10.099Z,32.7744471,35.0246067,217.451,0.066,0.07,8559,44110.099,1.7,3,MSLV
6855.5044,2023-06-08T12:15:10.199Z,32.7744474,35.0246067,217.462,0.019,0.07,8559,44110.199,1.66,3,MSLV
6955.4167,2023-06-08T12:15:10.298Z,32.7744477,35.0246066,217.473,0.025,0.02,8559,44110.299,1.66,3,MSLV
7055.329,2023-06-08T12:15:10.398Z,32.7744479,35.0246066,217.465,0.03,0.03,8559,44110.399,1.66,3,MSLV
7155.1924,2023-06-08T12:15:10.499Z,32.7744482,35.0246065,217.484,0.025,0.04,8559,44110.499,1.66,3,MSLV
7255.0558,2023-06-08T12:15:10.599Z,32.7744484,35.0246065,217.48,0.049,0.03,8559,44110.599,1.66,3,MSLV
7354.9192,2023-06-08T12:15:10.699Z,32.7744486,35.0246063,217.513,0.014,0.06,8559,44110.699,1.66,3,MSLV
7454.7826000000005,2023-06-08T12:15:10.798Z,32.7744486,35.0246062,217.519,0.066,0.01,8559,44110.799,1.66,3,MSLV
7554.646000000001,2023-06-08T12:15:10.898Z,32.7744488,35.0246061,217.534,0.013,0.07,8559,44110.899,1.66,3,MSLV
7654.509400000001,2023-06-08T12:15:11.000Z,32.7744489,35.024606,217.531,0.048,0.02,8559,44111,1.66,3,MSLV
7754.372800000001,2023-06-08T12:15:11.099Z,32.774449,35.0246061,217.534,0.104,0.06,8559,44111.099,1.66,3,MSLV
7854.236200000001,2023-06-08T12:15:11.199Z,32.774449,35.024606,217.539,0.048,0.11,8559,44111.199,1.66,3,MSLV
7954.099600000001,2023-06-08T12:15:11.298Z,32.7744492,35.0246059,217.55,0.021,0.06,8559,44111.299,1.66,3,MSLV
8053.963,2023-06-08T12:15:11.398Z,32.7744492,35.0246059,217.559,0.11,0.03,8559,44111.399,1.66,3,MSLV
8153.9091,2023-06-08T12:15:11.499Z,32.7744493,35.0246059,217.568,0.024,0.11,8559,44111.499,1.66,3,MSLV
8253.8552,2023-06-08T12:15:11.599Z,32.7744494,35.0246059,217.567,0.046,0.04,8559,44111.599,1.66,3,MSLV
8353.8013,2023-06-08T12:15:11.699Z,32.7744495,35.0246058,217.581,0.067,0.06,8559,44111.699,1.66,3,MSLV
8453.7474,2023-06-08T12:15:11.798Z,32.7744498,35.0246056,217.632,0.031,0.07,8559,44111.799,1.66,3,MSLV
8553.693500000001,2023-06-08T12:15:11.898Z,32.7744499,35.0246055,217.633,0.061,0.03,8559,44111.899,1.66,3,MSLV
8653.639600000002,2023-06-08T12:15:12.000Z,32.7744499,35.0246054,217.658,0.084,0.06,8559,44112,1.66,3,MSLV
8753.585700000003,2023-06-08T12:15:12.099Z,32.77445,35.0246054,217.669,0.039,0.08,8559,44112.099,1.66,3,MSLV
8853.531800000004,2023-06-08T12:15:12.199Z,32.77445,35.0246052,217.671,0.075,0.04,8559,44112.199,1.66,3,MSLV
8953.477900000005,2023-06-08T12:15:12.298Z,32.77445,35.0246053,217.668,0.036,0.08,8559,44112.299,1.66,3,MSLV
9053.424,2023-06-08T12:15:12.398Z,32.7744502,35.0246052,217.695,0.05,0.04,8559,44112.399,1.66,3,MSLV
9153.316400000002,2023-06-08T12:15:12.499Z,32.7744503,35.0246052,217.698,0.039,0.05,8559,44112.499,1.66,3,MSLV
9253.208800000002,2023-06-08T12:15:12.599Z,32.7744503,35.0246052,217.707,0.017,0.04,8559,44112.599,1.66,3,MSLV
9353.101200000003,2023-06-08T12:15:12.699Z,32.7744504,35.0246051,217.734,0.035,0.02,8559,44112.699,1.66,3,MSLV
9452.993600000003,2023-06-08T12:15:12.798Z,32.7744504,35.0246051,217.733,0.013,0.04,8559,44112.799,1.66,3,MSLV
9552.886000000004,2023-06-08T12:15:12.898Z,32.7744504,35.024605,217.75,0.024,0.02,8559,44112.899,1.66,3,MSLV
9652.778400000005,2023-06-08T12:15:13.000Z,32.7744505,35.0246051,217.755,0.003,0.02,8559,44113,1.66,3,MSLV
9752.670800000005,2023-06-08T12:15:13.099Z,32.7744505,35.0246051,217.76,0.016,0.01,8559,44113.099,1.71,3,MSLV
9852.563200000006,2023-06-08T12:15:13.199Z,32.7744505,35.0246051,217.784,0.04,0.03,8559,44113.199,1.71,3,MSLV
9952.455600000007,2023-06-08T12:15:13.298Z,32.7744505,35.0246052,217.786,0.051,0.04,8559,44113.299,1.71,3,MSLV
10052.348,2023-06-08T12:15:13.398Z,32.7744506,35.0246053,217.796,0.052,0.05,8559,44113.399,1.71,3,MSLV
10152.086800000001,2023-06-08T12:15:13.499Z,32.7744506,35.0246053,217.803,0.03,0.05,8559,44113.499,1.71,3,MSLV
10251.8256,2023-06-08T12:15:13.599Z,32.7744506,35.0246053,217.81,0.059,0.03,8559,44113.599,1.71,3,MSLV
10351.5644,2023-06-08T12:15:13.699Z,32.7744508,35.0246053,217.82,0.174,0.06,8559,44113.699,1.71,3,MSLV
10451.303199999998,2023-06-08T12:15:13.798Z,32.7744509,35.0246051,217.821,0.282,0.17,8559,44113.799,1.71,3,MSLV
10551.041999999998,2023-06-08T12:15:13.898Z,32.7744512,35.0246049,217.834,0.36,0.28,8559,44113.899,1.71,3,MSLV
10650.780799999997,2023-06-08T12:15:14.000Z,32.7744516,35.0246046,217.841,0.46,0.36,8559,44114,1.66,3,MSLV
10750.519599999996,2023-06-08T12:15:14.099Z,32.7744518,35.0246045,217.861,0.308,0.46,8559,44114.099,1.66,3,MSLV
10850.258399999995,2023-06-08T12:15:14.199Z,32.7744522,35.0246041,217.846,0.571,0.31,8559,44114.199,1.66,3,MSLV
10949.997199999994,2023-06-08T12:15:14.298Z,32.7744524,35.024604,217.839,0.35,0.57,8559,44114.299,2.11,3,MSLV
11049.736,2023-06-08T12:15:14.398Z,32.7744528,35.0246037,217.834,0.565,0.35,8559,44114.399,2.25,3,MSLV
11149.7518,2023-06-08T12:15:14.499Z,32.774453,35.0246036,217.84,0.452,0.57,8559,44114.499,2.25,3,MSLV
11249.7676,2023-06-08T12:15:14.599Z,32.7744532,35.0246034,217.858,0.346,0.45,8559,44114.599,2.25,3,MSLV
