cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
78.438,2023-06-08T13:04:00.000Z,32.7744239,35.0245833,215.398,0.036,0.05,8559,47040,1.37,3,MSLV
178.8041,2023-06-08T13:04:00.099Z,32.774424,35.0245834,215.398,0.038,0.04,8559,47040.1,1.37,3,MSLV
279.1702,2023-06-08T13:04:00.199Z,32.7744242,35.0245834,215.407,0.043,0.04,8559,47040.2,1.37,3,MSLV
379.5363,2023-06-08T13:04:00.300Z,32.7744243,35.0245835,215.42,0.047,0.05,8559,47040.3,1.37,3,MSLV
479.90239999999994,2023-06-08T13:04:00.400Z,32.7744244,35.0245837,215.421,0.097,0.06,8559,47040.4,1.37,3,MSLV
580.2684999999999,2023-06-08T13:04:00.500Z,32.7744245,35.0245837,215.429,0.021,0.11,8559,47040.5,1.37,3,MSLV
680.6345999999999,2023-06-08T13:04:00.599Z,32.7744246,35.0245837,215.423,0.052,0.05,8559,47040.6,1.37,3,MSLV
781.0006999999998,2023-06-08T13:04:00.699Z,32.7744247,35.0245838,215.415,0.083,0.06,8559,47040.7,1.37,3,MSLV
881.3667999999998,2023-06-08T13:04:00.800Z,32.7744247,35.0245839,215.416,0.067,0.08,8559,47040.8,1.37,3,MSLV
981.7328999999997,2023-06-08T13:04:00.900Z,32.7744247,35.0245841,215.414,0.098,0.07,8559,47040.9,1.37,3,MSLV
1082.099,2023-06-08T13:04:01.000Z,32.7744247,35.024584,215.407,0.116,0.1,8559,47041,1.58,3,MSLV
1182.4085,2023-06-08T13:04:01.099Z,32.7744248,35.0245841,215.399,0.051,0.12,8559,47041.1,1.58,3,MSLV
1282.718,2023-06-08T13:04:01.199Z,32.7744247,35.0245842,215.394,0.036,0.05,8559,47041.2,1.58,3,MSLV
1383.0275000000001,2023-06-08T13:04:01.300Z,32.7744247,35.0245842,215.395,0.018,0.04,8559,47041.3,1.58,3,MSLV
1483.3370000000002,2023-06-08T13:04:01.400Z,32.7744247,35.0245843,215.397,0.008,0.03,8559,47041.4,1.58,3,MSLV
1583.6465000000003,2023-06-08T13:04:01.500Z,32.7744248,35.0245844,215.408,0.021,0.03,8559,47041.5,1.58,3,MSLV
1683.9560000000004,2023-06-08T13:04:01.599Z,32.7744249,35.0245845,215.416,0.064,0.07,8559,47041.6,1.58,3,MSLV
1784.2655000000004,2023-06-08T13:04:01.699Z,32.7744249,35.0245845,215.435,0.061,0.1,8559,47041.7,1.58,3,MSLV
1884.5750000000005,2023-06-08T13:04:01.800Z,32.774425,35.0245845,215.468,0.057,0.13,8559,47041.8,1.58,3,MSLV
1984.8845000000006,2023-06-08T13:04:01.900Z,32.7744251,35.0245845,215.46,0.167,0.18,8559,47041.9,1.58,3,MSLV
2085.194,2023-06-08T13:04:02.000Z,32.7744252,35.0245845,215.442,0.144,0.22,8559,47042,1.58,3,MSLV
2185.4885555555556,2023-06-08T13:04:02.099Z,32.7744252,35.0245844,215.435,0.137,0.18,8559,47042.1,1.58,3,MSLV
2285.7831111111113,2023-06-08T13:04:02.199Z,32.7744252,35.0245844,215.426,0.111,0.17,8559,47042.2,1.37,3,MSLV
2386.077666666667,2023-06-08T13:04:02.300Z,32.7744251,35.0245844,215.422,0.041,0.14,8559,47042.3,1.37,3,MSLV
2486.3722222222227,2023-06-08T13:04:02.400Z,32.7744251,35.0245844,215.411,0.038,0.1,8559,47042.4,1.37,3,MSLV
2586.6667777777784,2023-06-08T13:04:02.500Z,32.7744251,35.0245843,215.402,0.091,0.09,8559,47042.5,1.37,3,MSLV
2686.961333333334,2023-06-08T13:04:02.599Z,32.774425,35.0245844,215.398,0.043,0.11,8559,47042.6,1.37,3,MSLV
2787.25588888889,2023-06-08T13:04:02.699Z,32.774425,35.0245843,215.383,0.056,0.08,8559,47042.7,1.37,3,MSLV
2887.5504444444455,2023-06-08T13:04:02.800Z,32.7744249,35.0245843,215.369,0.065,0.08,8559,47042.8,1.37,3,MSLV
2987.845,2023-06-08T13:04:02.900Z,32.7744248,35.0245844,215.345,0.083,0.09,8559,47042.9,1.37,3,MSLV
3087.3720999999996,2023-06-08T13:04:03.000Z,32.7744247,35.0245844,215.324,0.047,0.1,8559,47043,1.37,3,MSLV
3186.8992,2023-06-08T13:04:03.099Z,32.7744247,35.0245844,215.319,0.053,0.06,8559,47043.1,1.37,3,MSLV
3286.4263,2023-06-08T13:04:03.199Z,32.7744245,35.0245845,215.281,0.01,0.07,8559,47043.2,1.37,3,MSLV
3385.9534000000003,2023-06-08T13:04:03.300Z,32.7744245,35.0245845,215.267,0.021,0.03,8559,47043.3,1.37,3,MSLV
3485.4805000000006,2023-06-08T13:04:03.400Z,32.7744243,35.0245846,215.234,0.062,0.04,8559,47043.4,1.37,3,MSLV
3585.007600000001,2023-06-08T13:04:03.500Z,32.7744243,35.0245846,215.224,0.023,0.06,8559,47043.5,1.37,3,MSLV
3684.534700000001,2023-06-08T13:04:03.599Z,32.7744242,35.0245846,215.208,0.013,0.03,8559,47043.6,1.37,3,MSLV
3784.0618000000013,2023-06-08T13:04:03.699Z,32.7744242,35.0245846,215.198,0.01,0.02,8559,47043.7,1.37,3,MSLV
3883.5889000000016,2023-06-08T13:04:03.800Z,32.7744242,35.0245846,215.191,0.017,0.01,8559,47043.8,1.37,3,MSLV
3983.116,2023-06-08T13:04:03.900Z,32.7744241,35.0245846,215.164,0.008,0.02,8559,47043.9,1.37,3,MSLV
4082.8520909090907,2023-06-08T13:04:04.000Z,32.7744241,35.0245846,215.158,0.038,0.01,8559,47044,1.37,3,MSLV
4182.5881818181815,2023-06-08T13:04:04.099Z,32.774424,35.0245846,215.143,0.022,0.04,8559,47044.1,1.37,3,MSLV
4282.324272727273,2023-06-08T13:04:04.199Z,32.7744239,35.0245846,215.125,0.044,0.02,8559,47044.2,1.37,3,MSLV
4382.060363636364,2023-06-08T13:04:04.300Z,32.7744238,35.0245846,215.119,0.104,0.04,8559,47044.3,1.37,3,MSLV
4481.796454545455,2023-06-08T13:04:04.400Z,32.7744235,35.0245847,215.121,0.244,0.11,8559,47044.4,1.37,3,MSLV
4581.532545454546,2023-06-08T13:04:04.500Z,32.7744235,35.0245847,215.103,0.112,0.25,8559,47044.5,1.37,3,MSLV
4681.268636363638,2023-06-08T13:04:04.599Z,32.7744235,35.0245846,215.104,0.03,0.11,8559,47044.6,1.37,3,MSLV
4781.004727272729,2023-06-08T13:04:04.699Z,32.7744235,35.0245846,215.092,0.046,0.03,8559,47044.7,1.37,3,MSLV
4880.74081818182,2023-06-08T13:04:04.800Z,32.7744236,35.0245847,215.098,0.032,0.05,8559,47044.8,1.58,3,MSLV
4980.476909090911,2023-06-08T13:04:04.900Z,32.7744236,35.0245847,215.078,0.029,0.04,8559,47044.9,1.58,3,MSLV
5080.213,2023-06-08T13:04:05.000Z,32.7744237,35.0245847,215.058,0.047,0.03,8559,47045,1.58,3,MSLV
5180.549999999999,2023-06-08T13:04:05.099Z,32.7744237,35.0245847,215.052,0.024,0.05,8559,47045.1,1.58,3,MSLV
5280.886999999999,2023-06-08T13:04:05.199Z,32.7744238,35.0245848,215.033,0.035,0.02,8559,47045.2,1.58,3,MSLV
5381.223999999998,2023-06-08T13:04:05.300Z,32.7744238,35.0245848,215.023,0.033,0.04,8559,47045.3,1.58,3,MSLV
5481.560999999998,2023-06-08T13:04:05.400Z,32.7744237,35.0245848,215.018,0.055,0.03,8559,47045.4,1.58,3,MSLV
5581.897999999997,2023-06-08T13:04:05.500Z,32.7744237,35.0245849,215.009,0.064,0.06,8559,47045.5,1.58,3,MSLV
5682.234999999997,2023-06-08T13:04:05.599Z,32.7744238,35.024585,215.01,0.034,0.07,8559,47045.6,1.58,3,MSLV
5782.5719999999965,2023-06-08T13:04:05.699Z,32.7744237,35.024585,214.998,0.053,0.04,8559,47045.7,1.58,3,MSLV
5882.908999999996,2023-06-08T13:04:05.800Z,32.7744238,35.0245851,214.997,0.044,0.06,8559,47045.8,1.58,3,MSLV
5983.245999999996,2023-06-08T13:04:05.900Z,32.7744238,35.0245852,214.989,0.035,0.05,8559,47045.9,1.58,3,MSLV
6083.583,2023-06-08T13:04:06.000Z,32.7744238,35.0245852,214.979,0.03,0.04,8559,47046,1.58,3,MSLV
6183.7134,2023-06-08T13:04:06.099Z,32.7744239,35.0245852,214.969,0.029,0.04,8559,47046.1,1.58,3,MSLV
6283.8438,2023-06-08T13:04:06.199Z,32.7744239,35.0245853,214.958,0.014,0.04,8559,47046.2,1.58,3,MSLV
6383.9742,2023-06-08T13:04:06.300Z,32.7744241,35.0245853,214.96,0.011,0.03,8559,47046.3,1.58,3,MSLV
6484.1046,2023-06-08T13:04:06.400Z,32.7744241,35.0245853,214.943,0.016,0.02,8559,47046.4,1.58,3,MSLV
6584.235,2023-06-08T13:04:06.500Z,32.7744242,35.0245853,214.931,0.088,0.03,8559,47046.5,1.58,3,MSLV
6684.3654,2023-06-08T13:04:06.599Z,32.7744244,35.0245851,214.92,0.212,0.09,8559,47046.6,1.58,3,MSLV
6784.4958,2023-06-08T13:04:06.699Z,32.7744246,35.0245849,214.892,0.343,0.21,8559,47046.7,1.58,3,MSLV
6884.6262,2023-06-08T13:04:06.800Z,32.7744246,35.0245848,214.876,0.077,0.35,8559,47046.8,1.58,3,MSLV
6984.7566,2023-06-08T13:04:06.900Z,32.7744247,35.0245846,214.867,0.21,0.09,8559,47046.9,1.58,3,MSLV
7084.887,2023-06-08T13:04:07.000Z,32.7744247,35.0245844,214.87,0.229,0.21,8559,47047,1.58,3,MSLV
