cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
103.782,2023-06-08T12:59:18.199Z,32.774434,35.0245744,214.401,0.087,0.07,8559,46758.199,1.45,3,MSLV
203.5353333333333,2023-06-08T12:59:18.298Z,32.7744341,35.0245745,214.411,0.059,0.09,8559,46758.299,1.45,3,MSLV
303.28866666666664,2023-06-08T12:59:18.398Z,32.774434,35.0245745,214.39,0.066,0.06,8559,46758.399,1.28,3,MSLV
403.042,2023-06-08T12:59:18.499Z,32.774434,35.0245745,214.413,0.062,0.07,8559,46758.499,1.45,3,MSLV
502.7953333333333,2023-06-08T12:59:18.599Z,32.7744341,35.0245744,214.421,0.058,0.06,8559,46758.599,1.45,3,MSLV
602.5486666666666,2023-06-08T12:59:18.699Z,32.7744342,35.0245744,214.437,0.031,0.06,8559,46758.699,1.32,3,MSLV
702.3019999999999,2023-06-08T12:59:18.798Z,32.7744342,35.0245744,214.439,0.028,0.03,8559,46758.799,1.32,3,MSLV
802.0553333333332,2023-06-08T12:59:18.898Z,32.7744344,35.0245744,214.466,0.048,0.03,8559,46758.899,1.28,3,MSLV
901.8086666666666,2023-06-08T12:59:19.000Z,32.7744344,35.0245744,214.461,0.057,0.05,8559,46759,1.28,3,MSLV
1001.562,2023-06-08T12:59:19.099Z,32.7744344,35.0245744,214.468,0.025,0.06,8559,46759.099,1.28,3,MSLV
1101.6904,2023-06-08T12:59:19.199Z,32.7744345,35.0245745,214.483,0.043,0.03,8559,46759.199,1.28,3,MSLV
1201.8188,2023-06-08T12:59:19.298Z,32.7744345,35.0245744,214.507,0.038,0.04,8559,46759.299,1.28,3,MSLV
1301.9472,2023-06-08T12:59:19.398Z,32.7744345,35.0245744,214.497,0.011,0.04,8559,46759.399,1.28,3,MSLV
1402.0756000000001,2023-06-08T12:59:19.499Z,32.7744346,35.0245744,214.523,0.03,0.01,8559,46759.499,1.28,3,MSLV
1502.2040000000002,2023-06-08T12:59:19.599Z,32.7744346,35.0245744,214.53,0.034,0.03,8559,46759.599,1.28,3,MSLV
1602.3324000000002,2023-06-08T12:59:19.699Z,32.7744347,35.0245743,214.541,0.065,0.03,8559,46759.699,1.32,3,MSLV
1702.4608000000003,2023-06-08T12:59:19.798Z,32.7744348,35.0245743,214.563,0.051,0.07,8559,46759.799,1.28,3,MSLV
1802.5892000000003,2023-06-08T12:59:19.898Z,32.7744348,35.0245743,214.562,0.018,0.05,8559,46759.899,1.28,3,MSLV
1902.7176000000004,2023-06-08T12:59:20.000Z,32.7744348,35.0245742,214.591,0.059,0.02,8559,46760,1.28,3,MSLV
2002.846,2023-06-08T12:59:20.099Z,32.7744349,35.0245743,214.598,0.057,0.06,8559,46760.099,1.28,3,MSLV
2102.9746,2023-06-08T12:59:20.199Z,32.7744349,35.0245742,214.611,0.009,0.06,8559,46760.199,1.28,3,MSLV
2203.1032,2023-06-08T12:59:20.298Z,32.774435,35.0245742,214.634,0.018,0.01,8559,46760.299,1.28,3,MSLV
2303.2318,2023-06-08T12:59:20.398Z,32.774435,35.0245742,214.645,0.03,0.02,8559,46760.399,1.28,3,MSLV
2403.3604,2023-06-08T12:59:20.499Z,32.7744351,35.0245741,214.661,0.012,0.03,8559,46760.499,1.28,3,MSLV
2503.489,2023-06-08T12:59:20.599Z,32.7744351,35.0245741,214.665,0.014,0.02,8559,46760.599,1.28,3,MSLV
2603.6176,2023-06-08T12:59:20.699Z,32.7744351,35.0245741,214.699,0.04,0.01,8559,46760.699,1.28,3,MSLV
2703.7462,2023-06-08T12:59:20.798Z,32.7744352,35.0245741,214.696,0.054,0.04,8559,46760.799,1.32,3,MSLV
2803.8748,2023-06-08T12:59:20.898Z,32.7744353,35.0245741,214.719,0.028,0.05,8559,46760.899,1.28,3,MSLV
2904.0034,2023-06-08T12:59:21.000Z,32.7744353,35.024574,214.748,0.043,0.03,8559,46761,1.32,3,MSLV
3004.132,2023-06-08T12:59:21.099Z,32.7744354,35.024574,214.764,0.023,0.05,8559,46761.099,1.28,3,MSLV
3103.681,2023-06-08T12:59:21.199Z,32.7744355,35.0245739,214.775,0.059,0.03,8559,46761.199,1.28,3,MSLV
3203.23,2023-06-08T12:59:21.298Z,32.7744356,35.0245739,214.792,0.044,0.06,8559,46761.299,1.28,3,MSLV
3302.779,2023-06-08T12:59:21.398Z,32.7744357,35.0245739,214.829,0.028,0.05,8559,46761.399,1.28,3,MSLV
3402.328,2023-06-08T12:59:21.499Z,32.7744357,35.0245739,214.836,0.033,0.05,8559,46761.499,1.28,3,MSLV
3501.877,2023-06-08T12:59:21.599Z,32.7744358,35.0245739,214.847,0.039,0.05,8559,46761.599,1.28,3,MSLV
3601.426,2023-06-08T12:59:21.699Z,32.7744358,35.0245738,214.866,0.029,0.05,8559,46761.699,1.28,3,MSLV
3700.975,2023-06-08T12:59:21.798Z,32.7744359,35.0245738,214.875,0.027,0.04,8559,46761.799,1.28,3,MSLV
3800.524,2023-06-08T12:59:21.898Z,32.774436,35.0245739,214.883,0.085,0.03,8559,46761.899,1.28,3,MSLV
3900.073,2023-06-08T12:59:22.000Z,32.774436,35.0245738,214.903,0.008,0.09,8559,46762,1.28,3,MSLV
3999.622,2023-06-08T12:59:22.099Z,32.774436,35.0245738,214.918,0.035,0.02,8559,46762.099,1.28,3,MSLV
4099.652272727272,2023-06-08T12:59:22.199Z,32.7744361,35.0245737,214.934,0.044,0.04,8559,46762.199,1.28,3,MSLV
4199.682545454545,2023-06-08T12:59:22.298Z,32.7744362,35.0245737,214.958,0.065,0.04,8559,46762.299,1.28,3,MSLV
4299.712818181818,2023-06-08T12:59:22.398Z,32.7744362,35.0245737,214.966,0.016,0.07,8559,46762.399,1.28,3,MSLV
4399.743090909091,2023-06-08T12:59:22.499Z,32.7744363,35.0245737,214.974,0.012,0.02,8559,46762.499,1.28,3,MSLV
4499.773363636364,2023-06-08T12:59:22.599Z,32.7744363,35.0245736,214.999,0.006,0.01,8559,46762.599,1.44,3,MSLV
4599.8036363636365,2023-06-08T12:59:22.699Z,32.7744364,35.0245736,215.015,0.003,0.01,8559,46762.699,1.44,3,MSLV
4699.833909090909,2023-06-08T12:59:22.798Z,32.7744364,35.0245735,215.012,0.056,0.01,8559,46762.799,1.28,3,MSLV
4799.864181818182,2023-06-08T12:59:22.898Z,32.7744364,35.0245736,215.03,0.031,0.06,8559,46762.899,1.28,3,MSLV
4899.894454545455,2023-06-08T12:59:23.000Z,32.7744365,35.0245735,215.05,0.031,0.03,8559,46763,1.28,3,MSLV
4999.924727272728,2023-06-08T12:59:23.099Z,32.7744365,35.0245734,215.075,0.019,0.03,8559,46763.099,1.28,3,MSLV
5099.955,2023-06-08T12:59:23.199Z,32.7744364,35.0245735,215.073,0.063,0.03,8559,46763.199,1.28,3,MSLV
5200.263444444445,2023-06-08T12:59:23.298Z,32.7744367,35.0245734,215.105,0.096,0.06,8559,46763.299,1.28,3,MSLV
5300.57188888889,2023-06-08T12:59:23.398Z,32.7744366,35.0245734,215.091,0.056,0.1,8559,46763.399,1.28,3,MSLV
5400.880333333334,2023-06-08T12:59:23.499Z,32.7744367,35.0245734,215.118,0.026,0.06,8559,46763.499,1.28,3,MSLV
5501.188777777779,2023-06-08T12:59:23.599Z,32.7744367,35.0245734,215.137,0.071,0.03,8559,46763.599,1.28,3,MSLV
5601.497222222224,2023-06-08T12:59:23.699Z,32.7744368,35.0245734,215.141,0.023,0.07,8559,46763.699,1.28,3,MSLV
5701.805666666669,2023-06-08T12:59:23.798Z,32.7744371,35.0245736,215.168,0.314,0.02,8559,46763.799,1.28,3,MSLV
5802.114111111114,2023-06-08T12:59:23.898Z,32.7744374,35.0245737,215.19,0.307,0.32,8559,46763.899,1.28,3,MSLV
5902.422555555559,2023-06-08T12:59:24.000Z,32.7744373,35.0245737,215.178,0.029,0.31,8559,46764,1.28,3,MSLV
6002.731,2023-06-08T12:59:24.099Z,32.7744373,35.0245737,215.191,0.048,0.03,8559,46764.099,1.28,3,MSLV
6102.6062,2023-06-08T12:59:24.199Z,32.7744378,35.0245737,215.243,0.298,0.05,8559,46764.199,1.28,3,MSLV
6202.481400000001,2023-06-08T12:59:24.298Z,32.7744382,35.0245737,215.28,0.364,0.31,8559,46764.299,1.28,3,MSLV
6302.356600000001,2023-06-08T12:59:24.398Z,32.7744385,35.0245737,215.287,0.339,0.38,8559,46764.399,1.28,3,MSLV
6402.231800000001,2023-06-08T12:59:24.499Z,32.7744386,35.0245731,215.318,0.523,0.35,8559,46764.499,1.28,3,MSLV
6502.107000000002,2023-06-08T12:59:24.599Z,32.7744384,35.0245726,215.203,0.538,0.54,8559,46764.599,1.28,3,MSLV
6601.982200000002,2023-06-08T12:59:24.699Z,32.7744387,35.0245718,215.281,0.72,0.54,8559,46764.699,1.28,3,MSLV
6701.857400000003,2023-06-08T12:59:24.798Z,32.7744384,35.0245717,215.243,0.289,0.72,8559,46764.799,1.28,3,MSLV
6801.732600000003,2023-06-08T12:59:24.898Z,32.7744382,35.0245716,215.25,0.247,0.29,8559,46764.899,1.28,3,MSLV
6901.607800000003,2023-06-08T12:59:25.000Z,32.7744381,35.0245713,215.256,0.293,0.25,8559,46765,1.28,3,MSLV
7001.483,2023-06-08T12:59:25.099Z,32.7744378,35.0245712,215.277,0.339,0.29,8559,46765.099,1.28,3,MSLV
7101.3253,2023-06-08T12:59:25.199Z,32.7744379,35.0245716,215.292,0.237,0.34,8559,46765.199,1.28,3,MSLV
7201.167600000001,2023-06-08T12:59:25.298Z,32.7744378,35.0245716,215.284,0.122,0.24,8559,46765.299,1.28,3,MSLV
7301.009900000001,2023-06-08T12:59:25.398Z,32.7744376,35.0245717,215.29,0.221,0.12,8559,46765.399,1.28,3,MSLV
7400.852200000001,2023-06-08T12:59:25.499Z,32.7744375,35.0245715,215.31,0.17,0.22,8559,46765.499,1.28,3,MSLV
7500.694500000001,2023-06-08T12:59:25.599Z,32.7744373,35.0245716,215.293,0.152,0.17,8559,46765.599,1.28,3,MSLV
7600.536800000002,2023-06-08T12:59:25.699Z,32.7744373,35.0245716,215.303,0.098,0.15,8559,46765.699,1.28,3,MSLV
7700.379100000002,2023-06-08T12:59:25.798Z,32.7744372,35.0245716,215.296,0.076,0.1,8559,46765.799,1.34,3,MSLV
7800.221400000002,2023-06-08T12:59:25.898Z,32.7744371,35.0245717,215.291,0.145,0.08,8559,46765.899,1.34,3,MSLV
7900.063700000002,2023-06-08T12:59:26.000Z,32.7744371,35.0245718,215.284,0.058,0.15,8559,46766,1.34,3,MSLV
7999.906,2023-06-08T12:59:26.099Z,32.7744372,35.0245718,215.324,0.083,0.06,8559,46766.099,1.34,3,MSLV
8099.9028,2023-06-08T12:59:26.199Z,32.774437,35.0245719,215.288,0.071,0.08,8559,46766.199,1.34,3,MSLV
8199.8996,2023-06-08T12:59:26.298Z,32.774437,35.0245721,215.307,0.134,0.08,8559,46766.299,1.34,3,MSLV
8299.896400000001,2023-06-08T12:59:26.398Z,32.7744372,35.0245723,215.33,0.159,0.13,8559,46766.399,1.28,3,MSLV
8399.893200000002,2023-06-08T12:59:26.499Z,32.7744372,35.0245723,215.349,0.09,0.16,8559,46766.499,1.28,3,MSLV
8499.890000000003,2023-06-08T12:59:26.599Z,32.7744373,35.0245725,215.37,0.131,0.09,8559,46766.599,1.28,3,MSLV
8599.886800000004,2023-06-08T12:59:26.699Z,32.7744374,35.0245726,215.39,0.131,0.13,8559,46766.699,1.28,3,MSLV
8699.883600000005,2023-06-08T12:59:26.798Z,32.7744373,35.0245726,215.37,0.044,0.13,8559,46766.799,1.28,3,MSLV
8799.880400000005,2023-06-08T12:59:26.898Z,32.7744376,35.0245725,215.394,0.177,0.05,8559,46766.899,1.28,3,MSLV
8899.877200000006,2023-06-08T12:59:27.000Z,32.7744375,35.0245725,215.385,0.076,0.18,8559,46767,1.28,3,MSLV
8999.874,2023-06-08T12:59:27.099Z,32.7744375,35.0245725,215.398,0.021,0.08,8559,46767.099,1.34,3,MSLV
9099.990181818182,2023-06-08T12:59:27.199Z,32.7744377,35.0245726,215.441,0.119,0.03,8559,46767.199,1.28,3,MSLV
9200.106363636365,2023-06-08T12:59:27.298Z,32.7744378,35.0245726,215.457,0.027,0.12,8559,46767.299,1.28,3,MSLV
9300.222545454548,2023-06-08T12:59:27.398Z,32.7744377,35.0245726,215.447,0.05,0.03,8559,46767.399,1.28,3,MSLV
9400.33872727273,2023-06-08T12:59:27.499Z,32.7744378,35.0245726,215.472,0.054,0.05,8559,46767.499,1.34,3,MSLV
9500.454909090913,2023-06-08T12:59:27.599Z,32.7744379,35.0245727,215.493,0.043,0.05,8559,46767.599,1.34,3,MSLV
9600.571090909096,2023-06-08T12:59:27.699Z,32.7744379,35.0245727,215.479,0.052,0.05,8559,46767.699,1.28,3,MSLV
9700.687272727278,2023-06-08T12:59:27.798Z,32.7744379,35.0245727,215.5,0.058,0.05,8559,46767.799,1.28,3,MSLV
9800.803454545461,2023-06-08T12:59:27.898Z,32.7744379,35.0245727,215.513,0.013,0.06,8559,46767.899,1.28,3,MSLV
9900.919636363644,2023-06-08T12:59:28.000Z,32.7744378,35.0245728,215.487,0.015,0.03,8559,46768,1.28,3,MSLV
10001.035818181826,2023-06-08T12:59:28.099Z,32.7744378,35.0245728,215.502,0.01,0.02,8559,46768.099,1.28,3,MSLV
10101.152,2023-06-08T12:59:28.199Z,32.7744379,35.024573,215.501,0.09,0.01,8559,46768.199,1.28,3,MSLV
10201.380666666666,2023-06-08T12:59:28.298Z,32.774438,35.0245727,215.482,0.335,0.09,8559,46768.299,1.28,3,MSLV
10301.609333333332,2023-06-08T12:59:28.398Z,32.7744382,35.0245723,215.463,0.495,0.34,8559,46768.399,1.28,3,MSLV
10401.837999999998,2023-06-08T12:59:28.499Z,32.7744386,35.0245719,215.464,0.526,0.5,8559,46768.499,1.28,3,MSLV
10502.066666666664,2023-06-08T12:59:28.599Z,32.774439,35.0245715,215.462,0.631,0.53,8559,46768.599,1.28,3,MSLV
10602.29533333333,2023-06-08T12:59:28.699Z,32.7744395,35.0245709,215.458,0.728,0.63,8559,46768.699,1.28,3,MSLV
10702.523999999996,2023-06-08T12:59:28.798Z,32.7744401,35.0245703,215.496,0.707,0.73,8559,46768.799,1.28,3,MSLV
10802.752666666662,2023-06-08T12:59:28.898Z,32.7744407,35.0245697,215.455,1.034,0.71,8559,46768.899,1.28,3,MSLV
10902.981333333328,2023-06-08T12:59:29.000Z,32.7744413,35.0245691,215.483,0.852,1.04,8559,46769,1.28,3,MSLV
11003.21,2023-06-08T12:59:29.099Z,32.7744417,35.0245685,215.488,0.75,0.85,8559,46769.099,1.28,3,MSLV
11103.2506,2023-06-08T12:59:29.199Z,32.7744423,35.0245679,215.477,0.894,0.75,8559,46769.199,1.28,3,MSLV
11203.2912,2023-06-08T12:59:29.298Z,32.7744429,35.0245672,215.487,0.882,0.89,8559,46769.299,1.28,3,MSLV
11303.3318,2023-06-08T12:59:29.398Z,32.7744433,35.0245668,215.491,0.709,0.88,8559,46769.399,1.28,3,MSLV
11403.3724,2023-06-08T12:59:29.499Z,32.7744435,35.0245665,215.438,0.649,0.71,8559,46769.499,1.28,3,MSLV
11503.413,2023-06-08T12:59:29.599Z,32.774444,35.0245661,215.489,0.462,0.65,8559,46769.599,1.28,3,MSLV
11603.4536,2023-06-08T12:59:29.699Z,32.7744441,35.0245658,215.472,0.449,0.46,8559,46769.699,1.28,3,MSLV
11703.494200000001,2023-06-08T12:59:29.798Z,32.7744445,35.0245656,215.48,0.398,0.45,8559,46769.799,1.28,3,MSLV
11803.534800000001,2023-06-08T12:59:29.898Z,32.7744446,35.0245655,215.517,0.127,0.4,8559,46769.899,1.28,3,MSLV
11903.575400000002,2023-06-08T12:59:30.000Z,32.7744448,35.0245653,215.468,0.403,0.14,8559,46770,1.28,3,MSLV
12003.616,2023-06-08T12:59:30.099Z,32.7744452,35.0245652,215.481,0.371,0.4,8559,46770.099,1.28,3,MSLV
12103.365454545454,2023-06-08T12:59:30.199Z,32.7744453,35.0245651,215.482,0.188,0.37,8559,46770.199,1.28,3,MSLV
12203.114909090908,2023-06-08T12:59:30.298Z,32.7744455,35.024565,215.473,0.282,0.19,8559,46770.299,1.28,3,MSLV
12302.864363636361,2023-06-08T12:59:30.398Z,32.7744459,35.0245647,215.449,0.532,0.28,8559,46770.399,1.28,3,MSLV
12402.613818181815,2023-06-08T12:59:30.499Z,32.7744463,35.0245644,215.489,0.46,0.53,8559,46770.499,1.28,3,MSLV
12502.363272727269,2023-06-08T12:59:30.599Z,32.7744466,35.0245639,215.435,0.68,0.46,8559,46770.599,1.28,3,MSLV
