cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
89.092,2023-06-11T12:05:05.500Z,32.7744139,35.0245821,217.227,0.125,0.21,8562,43505.5,1.31,3,MSLV
189.0677777777778,2023-06-11T12:05:05.599Z,32.7744138,35.0245821,217.197,0.058,0.13,8562,43505.6,1.31,3,MSLV
289.0435555555556,2023-06-11T12:05:05.699Z,32.7744138,35.0245821,217.197,0.041,0.06,8562,43505.7,1.31,3,MSLV
389.0193333333334,2023-06-11T12:05:05.800Z,32.7744138,35.024582,217.193,0.065,0.04,8562,43505.8,1.31,3,MSLV
488.9951111111112,2023-06-11T12:05:05.900Z,32.7744141,35.0245819,217.197,0.158,0.07,8562,43505.9,1.31,3,MSLV
588.970888888889,2023-06-11T12:05:06.000Z,32.7744142,35.0245818,217.216,0.116,0.16,8562,43506,1.27,3,MSLV
688.9466666666668,2023-06-11T12:05:06.099Z,32.7744145,35.0245816,217.226,0.124,0.12,8562,43506.1,1.31,3,MSLV
788.9224444444446,2023-06-11T12:05:06.199Z,32.7744149,35.0245815,217.249,0.048,0.12,8562,43506.2,1.27,3,MSLV
888.8982222222224,2023-06-11T12:05:06.300Z,32.7744151,35.0245813,217.265,0.071,0.05,8562,43506.3,1.35,3,MSLV
988.874,2023-06-11T12:05:06.400Z,32.7744155,35.0245812,217.288,0.097,0.07,8562,43506.4,1.35,3,MSLV
1088.7988,2023-06-11T12:05:06.500Z,32.7744156,35.0245812,217.32,0.138,0.1,8562,43506.5,1.35,3,MSLV
1188.7236,2023-06-11T12:05:06.599Z,32.7744159,35.0245812,217.342,0.055,0.14,8562,43506.6,1.27,3,MSLV
1288.6484,2023-06-11T12:05:06.699Z,32.7744161,35.0245811,217.359,0.018,0.06,8562,43506.7,1.27,3,MSLV
1388.5732,2023-06-11T12:05:06.800Z,32.7744161,35.0245812,217.352,0.07,0.03,8562,43506.8,1.27,3,MSLV
1488.498,2023-06-11T12:05:06.900Z,32.7744162,35.0245813,217.345,0.103,0.07,8562,43506.9,1.27,3,MSLV
1588.4228,2023-06-11T12:05:07.000Z,32.774416,35.0245814,217.324,0.017,0.1,8562,43507,1.27,3,MSLV
1688.3476,2023-06-11T12:05:07.099Z,32.7744159,35.0245814,217.32,0.057,0.02,8562,43507.1,1.27,3,MSLV
1788.2724,2023-06-11T12:05:07.199Z,32.7744158,35.0245815,217.292,0.109,0.06,8562,43507.2,1.27,3,MSLV
1888.1972,2023-06-11T12:05:07.300Z,32.7744157,35.0245816,217.268,0.095,0.11,8562,43507.3,1.27,3,MSLV
1988.122,2023-06-11T12:05:07.400Z,32.7744158,35.0245817,217.252,0.194,0.1,8562,43507.4,1.27,3,MSLV
2088.6820000000002,2023-06-11T12:05:07.500Z,32.7744158,35.0245816,217.227,0.115,0.19,8562,43507.5,1.27,3,MSLV
2189.242,2023-06-11T12:05:07.599Z,32.7744161,35.0245814,217.207,0.245,0.12,8562,43507.6,1.27,3,MSLV
2289.802,2023-06-11T12:05:07.699Z,32.7744167,35.0245812,217.234,0.299,0.25,8562,43507.7,1.27,3,MSLV
2390.362,2023-06-11T12:05:07.800Z,32.7744169,35.024581,217.233,0.147,0.3,8562,43507.8,1.27,3,MSLV
2490.922,2023-06-11T12:05:07.900Z,32.7744169,35.0245809,217.224,0.141,0.15,8562,43507.9,1.27,3,MSLV
2591.482,2023-06-11T12:05:08.000Z,32.774417,35.0245809,217.227,0.035,0.14,8562,43508,1.21,3,MSLV
2692.042,2023-06-11T12:05:08.099Z,32.7744171,35.024581,217.214,0.087,0.04,8562,43508.1,1.21,3,MSLV
2792.602,2023-06-11T12:05:08.199Z,32.774417,35.0245811,217.212,0.115,0.09,8562,43508.2,1.21,3,MSLV
2893.162,2023-06-11T12:05:08.300Z,32.7744172,35.0245812,217.215,0.102,0.12,8562,43508.3,1.21,3,MSLV
2993.7219999999998,2023-06-11T12:05:08.400Z,32.7744171,35.0245815,217.229,0.236,0.1,8562,43508.4,1.21,3,MSLV
3094.282,2023-06-11T12:05:08.500Z,32.7744172,35.0245818,217.217,0.275,0.24,8562,43508.5,1.21,3,MSLV
3194.2266,2023-06-11T12:05:08.599Z,32.7744177,35.024582,217.227,0.346,0.28,8562,43508.6,1.21,3,MSLV
3294.1711999999998,2023-06-11T12:05:08.699Z,32.7744179,35.024582,217.234,0.082,0.35,8562,43508.7,1.21,3,MSLV
3394.1157999999996,2023-06-11T12:05:08.800Z,32.7744184,35.024582,217.25,0.173,0.09,8562,43508.8,1.21,3,MSLV
3494.0603999999994,2023-06-11T12:05:08.900Z,32.7744188,35.0245819,217.264,0.135,0.18,8562,43508.9,1.21,3,MSLV
3594.004999999999,2023-06-11T12:05:09.000Z,32.774419,35.0245819,217.29,0.036,0.14,8562,43509,1.21,3,MSLV
3693.949599999999,2023-06-11T12:05:09.099Z,32.7744192,35.0245818,217.305,0.065,0.05,8562,43509.1,1.21,3,MSLV
3793.894199999999,2023-06-11T12:05:09.199Z,32.7744195,35.0245817,217.325,0.088,0.07,8562,43509.2,1.21,3,MSLV
3893.8387999999986,2023-06-11T12:05:09.300Z,32.7744198,35.0245816,217.341,0.023,0.09,8562,43509.3,1.21,3,MSLV
3993.7833999999984,2023-06-11T12:05:09.400Z,32.7744201,35.0245816,217.359,0.066,0.02,8562,43509.4,1.21,3,MSLV
4093.728,2023-06-11T12:05:09.500Z,32.7744203,35.0245815,217.383,0.099,0.07,8562,43509.5,1.21,3,MSLV
4193.3265,2023-06-11T12:05:09.599Z,32.7744204,35.0245813,217.382,0.128,0.1,8562,43509.6,1.21,3,MSLV
4292.925,2023-06-11T12:05:09.699Z,32.7744206,35.0245813,217.399,0.034,0.13,8562,43509.7,1.21,3,MSLV
4392.5235,2023-06-11T12:05:09.800Z,32.7744207,35.0245813,217.405,0.03,0.04,8562,43509.8,1.21,3,MSLV
