cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
51.107,2023-06-11T12:07:46.599Z,32.7744093,35.0245716,214.529,0.085,0.12,8562,43666.6,1.37,3,MSLV
151.4053,2023-06-11T12:07:46.699Z,32.7744096,35.0245714,214.517,0.25,0.09,8562,43666.7,1.37,3,MSLV
251.7036,2023-06-11T12:07:46.800Z,32.7744098,35.0245712,214.512,0.274,0.25,8562,43666.8,1.34,3,MSLV
352.0019,2023-06-11T12:07:46.900Z,32.7744101,35.0245709,214.503,0.328,0.27,8562,43666.9,1.34,3,MSLV
452.30019999999996,2023-06-11T12:07:47.000Z,32.7744103,35.0245706,214.456,0.351,0.33,8562,43667,1.37,3,MSLV
552.5985,2023-06-11T12:07:47.099Z,32.7744102,35.0245704,214.399,0.238,0.35,8562,43667.1,1.34,3,MSLV
652.8968,2023-06-11T12:07:47.199Z,32.7744104,35.02457,214.368,0.387,0.25,8562,43667.2,1.34,3,MSLV
753.1951,2023-06-11T12:07:47.300Z,32.7744102,35.0245697,214.296,0.344,0.39,8562,43667.3,1.34,3,MSLV
853.4934000000001,2023-06-11T12:07:47.400Z,32.7744104,35.0245693,214.25,0.419,0.36,8562,43667.4,1.27,3,MSLV
953.7917000000001,2023-06-11T12:07:47.500Z,32.7744107,35.024569,214.223,0.489,0.44,8562,43667.5,1.34,3,MSLV
1054.09,2023-06-11T12:07:47.599Z,32.7744107,35.0245686,214.209,0.435,0.51,8562,43667.6,1.34,3,MSLV
1153.8732,2023-06-11T12:07:47.699Z,32.7744113,35.024568,214.23,0.57,0.45,8562,43667.7,1.34,3,MSLV
1253.6564,2023-06-11T12:07:47.800Z,32.7744116,35.0245677,214.208,0.486,0.58,8562,43667.8,1.34,3,MSLV
1353.4396000000002,2023-06-11T12:07:47.900Z,32.7744119,35.0245674,214.195,0.417,0.5,8562,43667.9,1.34,3,MSLV
1453.2228000000002,2023-06-11T12:07:48.000Z,32.7744123,35.0245671,214.195,0.465,0.43,8562,43668,1.34,3,MSLV
1553.0060000000003,2023-06-11T12:07:48.099Z,32.7744125,35.0245666,214.177,0.509,0.47,8562,43668.1,1.34,3,MSLV
1652.7892000000004,2023-06-11T12:07:48.199Z,32.7744127,35.0245661,214.127,0.584,0.52,8562,43668.2,1.34,3,MSLV
1752.5724000000005,2023-06-11T12:07:48.300Z,32.7744133,35.0245659,214.111,0.61,0.6,8562,43668.3,1.34,3,MSLV
1852.3556000000005,2023-06-11T12:07:48.400Z,32.7744137,35.0245655,214.097,0.62,0.62,8562,43668.4,1.34,3,MSLV
1952.1388000000006,2023-06-11T12:07:48.500Z,32.7744139,35.024565,214.071,0.594,0.63,8562,43668.5,1.37,3,MSLV
2051.922,2023-06-11T12:07:48.599Z,32.7744145,35.0245644,214.082,0.65,0.6,8562,43668.6,1.34,3,MSLV
2151.7244,2023-06-11T12:07:48.699Z,32.7744149,35.024564,214.088,0.529,0.65,8562,43668.7,1.34,3,MSLV
2251.5268,2023-06-11T12:07:48.800Z,32.7744153,35.0245634,214.065,0.683,0.53,8562,43668.8,1.34,3,MSLV
2351.3292,2023-06-11T12:07:48.900Z,32.7744156,35.0245628,214.006,0.77,0.68,8562,43668.9,1.34,3,MSLV
2451.1316,2023-06-11T12:07:49.000Z,32.7744167,35.0245623,214.046,0.532,0.77,8562,43669,1.34,3,MSLV
2550.934,2023-06-11T12:07:49.099Z,32.7744178,35.0245616,214.085,0.589,0.53,8562,43669.1,1.37,3,MSLV
2650.7364000000002,2023-06-11T12:07:49.199Z,32.7744185,35.0245609,214.075,0.72,0.59,8562,43669.2,1.37,3,MSLV
2750.5388000000003,2023-06-11T12:07:49.300Z,32.7744193,35.0245601,214.072,0.679,0.72,8562,43669.3,1.39,3,MSLV
2850.3412000000003,2023-06-11T12:07:49.400Z,32.7744198,35.0245596,214.062,0.705,0.68,8562,43669.4,1.39,3,MSLV
2950.1436000000003,2023-06-11T12:07:49.500Z,32.7744205,35.0245591,214.046,0.617,0.71,8562,43669.5,1.37,3,MSLV
3049.946,2023-06-11T12:07:49.599Z,32.7744217,35.0245584,214.039,0.828,0.62,8562,43669.6,1.37,3,MSLV
3150.2963,2023-06-11T12:07:49.699Z,32.7744219,35.024558,214.038,0.54,0.83,8562,43669.7,1.34,3,MSLV
