cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
131.19,2023-06-11T12:05:07.499Z,32.7744963,35.0245736,216.666,0.179,0.43,8562,43507.499,1.23,3,MSLV
230.962,2023-06-11T12:05:07.599Z,32.7744968,35.0245736,216.725,0.071,0.18,8562,43507.599,1.23,3,MSLV
330.734,2023-06-11T12:05:07.699Z,32.7744969,35.0245736,216.756,0.029,0.08,8562,43507.699,1.23,3,MSLV
430.506,2023-06-11T12:05:07.798Z,32.7744968,35.0245738,216.707,0.058,0.08,8562,43507.799,1.27,3,MSLV
530.278,2023-06-11T12:05:07.898Z,32.7744971,35.0245739,216.739,0.11,0.06,8562,43507.899,1.27,3,MSLV
630.05,2023-06-11T12:05:08.000Z,32.7744973,35.0245739,216.749,0.063,0.12,8562,43508,1.27,3,MSLV
729.8219999999999,2023-06-11T12:05:08.099Z,32.7744972,35.0245739,216.746,0.067,0.07,8562,43508.099,1.27,3,MSLV
829.5939999999998,2023-06-11T12:05:08.199Z,32.7744974,35.0245741,216.749,0.1,0.07,8562,43508.199,1.27,3,MSLV
929.3659999999998,2023-06-11T12:05:08.298Z,32.7744975,35.0245741,216.75,0.031,0.1,8562,43508.299,1.27,3,MSLV
1029.138,2023-06-11T12:05:08.398Z,32.7744974,35.024574,216.749,0.108,0.04,8562,43508.399,1.27,3,MSLV
1129.5157,2023-06-11T12:05:08.499Z,32.7744976,35.0245742,216.747,0.072,0.11,8562,43508.499,1.27,3,MSLV
1229.8934,2023-06-11T12:05:08.599Z,32.7744977,35.0245742,216.741,0.04,0.07,8562,43508.599,1.27,3,MSLV
1330.2711,2023-06-11T12:05:08.699Z,32.7744978,35.0245743,216.751,0.036,0.04,8562,43508.699,1.27,3,MSLV
1430.6488,2023-06-11T12:05:08.798Z,32.7744979,35.0245744,216.762,0.063,0.04,8562,43508.799,1.27,3,MSLV
1531.0265,2023-06-11T12:05:08.898Z,32.7744981,35.0245744,216.761,0.052,0.06,8562,43508.899,1.27,3,MSLV
1631.4042,2023-06-11T12:05:09.000Z,32.774498,35.0245744,216.743,0.036,0.05,8562,43509,1.27,3,MSLV
1731.7819,2023-06-11T12:05:09.099Z,32.7744981,35.0245744,216.75,0.025,0.04,8562,43509.099,1.27,3,MSLV
1832.1596,2023-06-11T12:05:09.199Z,32.7744982,35.0245745,216.752,0.012,0.03,8562,43509.199,1.27,3,MSLV
1932.5373,2023-06-11T12:05:09.298Z,32.7744982,35.0245745,216.746,0.016,0.02,8562,43509.299,1.27,3,MSLV
2032.915,2023-06-11T12:05:09.398Z,32.7744983,35.0245746,216.752,0.009,0.02,8562,43509.399,1.27,3,MSLV
2132.5879,2023-06-11T12:05:09.499Z,32.7744985,35.0245746,216.758,0.084,0.01,8562,43509.499,1.27,3,MSLV
2232.2608,2023-06-11T12:05:09.599Z,32.7744985,35.0245747,216.749,0.037,0.09,8562,43509.599,1.27,3,MSLV
2331.9337,2023-06-11T12:05:09.699Z,32.7744985,35.0245747,216.754,0.025,0.04,8562,43509.699,1.27,3,MSLV
2431.6066,2023-06-11T12:05:09.798Z,32.7744987,35.0245748,216.757,0.094,0.03,8562,43509.799,1.27,3,MSLV
2531.2795,2023-06-11T12:05:09.898Z,32.7744986,35.0245748,216.752,0.066,0.1,8562,43509.899,1.27,3,MSLV
2630.9524,2023-06-11T12:05:10.000Z,32.7744989,35.0245749,216.749,0.051,0.07,8562,43510,1.27,3,MSLV
2730.6253,2023-06-11T12:05:10.099Z,32.7744989,35.024575,216.753,0.028,0.05,8562,43510.099,1.27,3,MSLV
2830.2982,2023-06-11T12:05:10.199Z,32.7744989,35.024575,216.755,0.028,0.03,8562,43510.199,1.27,3,MSLV
2929.9711,2023-06-11T12:05:10.298Z,32.7744991,35.0245751,216.753,0.104,0.03,8562,43510.299,1.27,3,MSLV
3029.644,2023-06-11T12:05:10.398Z,32.7744991,35.0245751,216.754,0.015,0.1,8562,43510.399,1.27,3,MSLV
3129.7329,2023-06-11T12:05:10.499Z,32.7744989,35.0245751,216.734,0.092,0.03,8562,43510.499,1.27,3,MSLV
3229.8218,2023-06-11T12:05:10.599Z,32.7744992,35.0245753,216.746,0.14,0.09,8562,43510.599,1.27,3,MSLV
3329.9107000000004,2023-06-11T12:05:10.699Z,32.7744991,35.0245753,216.732,0.031,0.14,8562,43510.699,1.27,3,MSLV
3429.9996000000006,2023-06-11T12:05:10.798Z,32.7744992,35.0245754,216.735,0.021,0.03,8562,43510.799,1.27,3,MSLV
3530.0885000000007,2023-06-11T12:05:10.898Z,32.7744992,35.0245754,216.742,0.018,0.02,8562,43510.899,1.39,3,MSLV
3630.177400000001,2023-06-11T12:05:11.000Z,32.7744992,35.0245755,216.727,0.016,0.02,8562,43511,1.39,3,MSLV
3730.266300000001,2023-06-11T12:05:11.099Z,32.7744993,35.0245755,216.736,0.078,0.02,8562,43511.099,1.39,3,MSLV
3830.3552000000013,2023-06-11T12:05:11.199Z,32.7744992,35.0245756,216.724,0.02,0.08,8562,43511.199,1.39,3,MSLV
3930.4441000000015,2023-06-11T12:05:11.298Z,32.7744991,35.0245756,216.716,0.045,0.02,8562,43511.299,1.39,3,MSLV
4030.533,2023-06-11T12:05:11.398Z,32.7744991,35.0245756,216.724,0.029,0.05,8562,43511.399,1.39,3,MSLV
4130.5925,2023-06-11T12:05:11.499Z,32.774499,35.0245757,216.692,0.067,0.04,8562,43511.499,1.39,3,MSLV
4230.652,2023-06-11T12:05:11.599Z,32.7744991,35.0245757,216.707,0.089,0.07,8562,43511.599,1.39,3,MSLV
4330.7115,2023-06-11T12:05:11.699Z,32.774499,35.0245757,216.696,0.022,0.09,8562,43511.699,1.39,3,MSLV
4430.771000000001,2023-06-11T12:05:11.798Z,32.7744988,35.0245758,216.69,0.015,0.02,8562,43511.799,1.39,3,MSLV
4530.830500000001,2023-06-11T12:05:11.898Z,32.7744988,35.0245758,216.682,0.05,0.02,8562,43511.899,1.39,3,MSLV
4630.890000000001,2023-06-11T12:05:12.000Z,32.7744988,35.0245759,216.689,0.086,0.05,8562,43512,1.39,3,MSLV
4730.9495000000015,2023-06-11T12:05:12.099Z,32.7744988,35.0245759,216.692,0.039,0.09,8562,43512.099,1.39,3,MSLV
4831.009000000002,2023-06-11T12:05:12.199Z,32.7744988,35.0245759,216.685,0.046,0.04,8562,43512.199,1.39,3,MSLV
4931.068500000002,2023-06-11T12:05:12.298Z,32.7744986,35.024576,216.683,0.037,0.05,8562,43512.299,1.39,3,MSLV
5031.128,2023-06-11T12:05:12.398Z,32.7744986,35.024576,216.667,0.056,0.04,8562,43512.399,1.39,3,MSLV
5131.2499,2023-06-11T12:05:12.499Z,32.7744986,35.0245761,216.67,0.042,0.06,8562,43512.499,1.39,3,MSLV
5231.3718,2023-06-11T12:05:12.599Z,32.7744985,35.0245761,216.658,0.022,0.04,8562,43512.599,1.39,3,MSLV
5331.4937,2023-06-11T12:05:12.699Z,32.7744984,35.024576,216.659,0.053,0.02,8562,43512.699,1.39,3,MSLV
5431.6156,2023-06-11T12:05:12.798Z,32.7744983,35.0245761,216.647,0.027,0.05,8562,43512.799,1.39,3,MSLV
5531.7375,2023-06-11T12:05:12.898Z,32.7744982,35.0245761,216.643,0.04,0.03,8562,43512.899,1.39,3,MSLV
5631.8594,2023-06-11T12:05:13.000Z,32.7744982,35.0245761,216.637,0.045,0.04,8562,43513,1.39,3,MSLV
