cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
88.294,2023-06-11T12:07:44.898Z,32.7744499,35.0245815,216.68,0.051,0.1,8562,43664.899,1.37,3,MSLV
188.1106,2023-06-11T12:07:45.000Z,32.7744495,35.0245817,216.64,0.112,0.05,8562,43665,1.37,3,MSLV
287.9272,2023-06-11T12:07:45.099Z,32.7744497,35.0245816,216.666,0.042,0.12,8562,43665.099,1.37,3,MSLV
387.7438,2023-06-11T12:07:45.199Z,32.7744497,35.0245816,216.655,0.034,0.05,8562,43665.199,1.37,3,MSLV
487.5604,2023-06-11T12:07:45.298Z,32.7744498,35.0245816,216.658,0.039,0.05,8562,43665.299,1.37,3,MSLV
587.3770000000001,2023-06-11T12:07:45.398Z,32.7744499,35.0245816,216.687,0.05,0.05,8562,43665.399,1.37,3,MSLV
687.1936000000001,2023-06-11T12:07:45.499Z,32.7744499,35.0245815,216.681,0.062,0.05,8562,43665.499,1.37,3,MSLV
787.0102,2023-06-11T12:07:45.599Z,32.7744499,35.0245816,216.68,0.046,0.06,8562,43665.599,1.37,3,MSLV
886.8268,2023-06-11T12:07:45.699Z,32.77445,35.0245816,216.684,0.028,0.05,8562,43665.699,1.37,3,MSLV
986.6434,2023-06-11T12:07:45.798Z,32.7744499,35.0245815,216.68,0.061,0.03,8562,43665.799,1.37,3,MSLV
1086.46,2023-06-11T12:07:45.898Z,32.77445,35.0245815,216.674,0.016,0.06,8562,43665.899,1.37,3,MSLV
1186.1736,2023-06-11T12:07:46.000Z,32.7744501,35.0245815,216.69,0.024,0.03,8562,43666,1.37,3,MSLV
1285.8872000000001,2023-06-11T12:07:46.099Z,32.7744502,35.0245815,216.7,0.031,0.03,8562,43666.099,1.37,3,MSLV
1385.6008000000002,2023-06-11T12:07:46.199Z,32.7744503,35.0245815,216.715,0.019,0.03,8562,43666.199,1.37,3,MSLV
1485.3144000000002,2023-06-11T12:07:46.298Z,32.7744504,35.0245815,216.716,0.024,0.02,8562,43666.299,1.37,3,MSLV
1585.0280000000002,2023-06-11T12:07:46.398Z,32.7744504,35.0245816,216.7,0.105,0.02,8562,43666.399,1.37,3,MSLV
