cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
26067.642,2023-05-28T11:08:06.599Z,32.7737588,35.0249609,-0.552,0.766,0.91,8548,40086.599,3.06,0,MSLV
27066.682,2023-05-28T11:08:07.599Z,32.773763,35.0249547,-0.956,0.744,0.75,8548,40087.599,3.07,2,MSLV
27166.8178,2023-05-28T11:08:07.699Z,32.7737637,35.024954,-0.975,0.733,0.74,8548,40087.699,3.07,2,MSLV
27266.9536,2023-05-28T11:08:07.798Z,32.7737643,35.0249536,-0.93,0.723,0.73,8548,40087.799,3.07,2,MSLV
27367.0894,2023-05-28T11:08:07.898Z,32.773765,35.024953,-0.889,0.74,0.72,8548,40087.899,3.07,2,MSLV
27467.2252,2023-05-28T11:08:08.000Z,32.7737656,35.0249526,-0.866,0.715,0.74,8548,40088,3.07,2,MSLV
27567.361,2023-05-28T11:08:08.099Z,32.7737663,35.0249522,-0.892,0.693,0.71,8548,40088.099,3.07,2,MSLV
27667.4968,2023-05-28T11:08:08.199Z,32.7737671,35.0249518,-0.861,0.715,0.69,8548,40088.199,3.07,2,MSLV
27767.6326,2023-05-28T11:08:08.298Z,32.7737676,35.0249515,-0.814,0.69,0.71,8548,40088.299,3.07,2,MSLV
27867.7684,2023-05-28T11:08:08.398Z,32.7737682,35.0249509,-0.779,0.681,0.69,8548,40088.399,3.07,2,MSLV
27967.9042,2023-05-28T11:08:08.499Z,32.7737691,35.0249508,-0.807,0.741,0.68,8548,40088.499,3.07,2,MSLV
28068.04,2023-05-28T11:08:08.599Z,32.7737696,35.0249501,-0.83,0.706,0.74,8548,40088.599,3.07,2,MSLV
28168.0942,2023-05-28T11:08:08.699Z,32.7737701,35.0249495,-0.849,0.714,0.71,8548,40088.699,3.07,2,MSLV
28268.1484,2023-05-28T11:08:08.798Z,32.7737705,35.024949,-0.796,0.683,0.71,8548,40088.799,3.07,2,MSLV
28368.202599999997,2023-05-28T11:08:08.898Z,32.7737708,35.0249482,-0.779,0.68,0.68,8548,40088.899,3.07,2,MSLV
28468.256799999996,2023-05-28T11:08:09.000Z,32.7737714,35.0249474,-0.781,0.718,0.68,8548,40089,3.07,2,MSLV
28568.310999999994,2023-05-28T11:08:09.099Z,32.7737717,35.0249471,-0.801,0.668,0.72,8548,40089.099,3.07,2,MSLV
28668.365199999993,2023-05-28T11:08:09.199Z,32.7737722,35.0249462,-0.844,0.699,0.67,8548,40089.199,3.07,2,MSLV
28768.41939999999,2023-05-28T11:08:09.298Z,32.7737728,35.0249452,-0.869,0.759,0.7,8548,40089.299,3.07,2,MSLV
28868.47359999999,2023-05-28T11:08:09.398Z,32.7737733,35.0249449,-0.911,0.703,0.76,8548,40089.399,3.07,2,MSLV
28968.52779999999,2023-05-28T11:08:09.499Z,32.7737737,35.0249441,-0.834,0.73,0.7,8548,40089.499,3.07,2,MSLV
29068.582,2023-05-28T11:08:09.599Z,32.773774,35.0249436,-0.861,0.697,0.73,8548,40089.599,3.07,2,MSLV
29168.4806,2023-05-28T11:08:09.699Z,32.7737747,35.0249432,-0.875,0.712,0.7,8548,40089.699,3.07,2,MSLV
29268.3792,2023-05-28T11:08:09.798Z,32.773775,35.0249427,-0.868,0.67,0.71,8548,40089.799,3.07,2,MSLV
29368.2778,2023-05-28T11:08:09.898Z,32.7737752,35.024942,-0.88,0.664,0.67,8548,40089.899,3.07,2,MSLV
29468.1764,2023-05-28T11:08:10.000Z,32.7737756,35.0249416,-0.897,0.622,0.66,8548,40090,3.07,2,MSLV
29568.075,2023-05-28T11:08:10.099Z,32.7737761,35.0249411,-0.91,0.641,0.62,8548,40090.099,3.07,2,MSLV
29667.9736,2023-05-28T11:08:10.199Z,32.7737766,35.0249406,-0.921,0.684,0.64,8548,40090.199,3.07,2,MSLV
29767.8722,2023-05-28T11:08:10.298Z,32.7737766,35.0249402,-0.926,0.554,0.68,8548,40090.299,3.07,2,MSLV
29867.770800000002,2023-05-28T11:08:10.398Z,32.7737771,35.0249397,-0.932,0.617,0.55,8548,40090.399,3.07,2,MSLV
29967.669400000002,2023-05-28T11:08:10.499Z,32.7737778,35.0249391,-0.98,0.706,0.62,8548,40090.499,3.07,2,MSLV
30067.568,2023-05-28T11:08:10.599Z,32.7737781,35.0249386,-1.01,0.623,0.71,8548,40090.599,3.07,2,MSLV
30167.4392,2023-05-28T11:08:10.699Z,32.7737789,35.0249378,-0.947,0.781,0.62,8548,40090.699,3.07,2,MSLV
30267.310400000002,2023-05-28T11:08:10.798Z,32.7737793,35.0249375,-0.929,0.711,0.78,8548,40090.799,3.07,2,MSLV
30367.181600000004,2023-05-28T11:08:10.898Z,32.7737795,35.024937,-0.833,0.685,0.71,8548,40090.899,3.07,2,MSLV
30467.052800000005,2023-05-28T11:08:11.000Z,32.7737801,35.0249364,-0.842,0.745,0.69,8548,40091,3.07,2,MSLV
30566.924000000006,2023-05-28T11:08:11.099Z,32.7737807,35.0249359,-0.867,0.801,0.74,8548,40091.099,3.07,2,MSLV
30666.795200000008,2023-05-28T11:08:11.199Z,32.7737812,35.0249355,-0.837,0.796,0.8,8548,40091.199,3.07,2,MSLV
30766.66640000001,2023-05-28T11:08:11.298Z,32.7737818,35.0249351,-0.788,0.792,0.8,8548,40091.299,3.07,2,MSLV
30866.53760000001,2023-05-28T11:08:11.398Z,32.7737826,35.0249346,-0.84,0.878,0.79,8548,40091.399,3.07,2,MSLV
30966.408800000012,2023-05-28T11:08:11.499Z,32.7737827,35.0249343,-0.872,0.747,0.88,8548,40091.499,3.07,2,MSLV
31066.28,2023-05-28T11:08:11.599Z,32.7737837,35.0249335,-0.938,0.883,0.75,8548,40091.599,3.07,2,MSLV
31166.3216,2023-05-28T11:08:11.699Z,32.7737843,35.024933,-0.957,0.854,0.88,8548,40091.699,3.07,2,MSLV
31266.3632,2023-05-28T11:08:11.798Z,32.7737849,35.0249324,-0.935,0.866,0.85,8548,40091.799,3.07,2,MSLV
31366.4048,2023-05-28T11:08:11.898Z,32.7737854,35.0249315,-1.024,0.927,0.87,8548,40091.899,3.07,2,MSLV
31466.4464,2023-05-28T11:08:12.000Z,32.7737862,35.0249308,-0.94,0.982,0.93,8548,40092,3.07,2,MSLV
31566.488,2023-05-28T11:08:12.099Z,32.7737867,35.0249305,-0.917,0.837,0.98,8548,40092.099,3.07,2,MSLV
31666.5296,2023-05-28T11:08:12.199Z,32.7737872,35.0249298,-1.025,0.89,0.84,8548,40092.199,3.07,2,MSLV
31766.571200000002,2023-05-28T11:08:12.298Z,32.7737879,35.0249292,-1.087,0.88,0.89,8548,40092.299,3.07,2,MSLV
31866.612800000003,2023-05-28T11:08:12.398Z,32.7737883,35.0249286,-1.125,0.844,0.88,8548,40092.399,3.07,2,MSLV
31966.654400000003,2023-05-28T11:08:12.499Z,32.7737888,35.0249281,-1.202,0.816,0.84,8548,40092.499,3.07,2,MSLV
32066.696,2023-05-28T11:08:12.599Z,32.7737896,35.0249272,-1.246,0.916,0.82,8548,40092.599,3.07,2,MSLV
32166.791,2023-05-28T11:08:12.699Z,32.77379,35.0249267,-1.177,0.84,0.92,8548,40092.699,3.07,2,MSLV
32266.886000000002,2023-05-28T11:08:12.798Z,32.7737904,35.0249261,-0.995,0.844,0.84,8548,40092.799,3.07,2,MSLV
32366.981000000003,2023-05-28T11:08:12.898Z,32.7737911,35.0249256,-1.006,0.822,0.84,8548,40092.899,3.07,2,MSLV
32467.076000000005,2023-05-28T11:08:13.000Z,32.7737916,35.0249249,-1.021,0.875,0.82,8548,40093,3.07,2,MSLV
32567.171000000006,2023-05-28T11:08:13.099Z,32.773792,35.0249243,-1.091,0.843,0.88,8548,40093.099,3.07,2,MSLV
32667.266000000007,2023-05-28T11:08:13.199Z,32.7737924,35.0249236,-1.067,0.825,0.84,8548,40093.199,3.07,2,MSLV
32767.361000000008,2023-05-28T11:08:13.298Z,32.773793,35.024923,-1.057,0.853,0.82,8548,40093.299,3.07,2,MSLV
32867.456000000006,2023-05-28T11:08:13.398Z,32.7737937,35.0249225,-1.104,0.824,0.85,8548,40093.399,3.07,2,MSLV
32967.55100000001,2023-05-28T11:08:13.499Z,32.773794,35.0249219,-1.073,0.808,0.82,8548,40093.499,3.07,2,MSLV
33067.646,2023-05-28T11:08:13.599Z,32.7737945,35.0249214,-1.041,0.833,0.81,8548,40093.599,3.07,2,MSLV
33167.9394,2023-05-28T11:08:13.699Z,32.773795,35.0249209,-0.994,0.777,0.83,8548,40093.699,3.07,2,MSLV
33268.232800000005,2023-05-28T11:08:13.798Z,32.7737954,35.0249204,-0.985,0.81,0.78,8548,40093.799,3.07,2,MSLV
33368.52620000001,2023-05-28T11:08:13.898Z,32.7737962,35.0249199,-0.933,0.859,0.81,8548,40093.899,3.07,2,MSLV
33468.81960000001,2023-05-28T11:08:14.000Z,32.7737964,35.0249192,-0.924,0.848,0.86,8548,40094,3.07,2,MSLV
33569.11300000001,2023-05-28T11:08:14.099Z,32.7737968,35.024919,-0.967,0.7,0.85,8548,40094.099,3.07,2,MSLV
33669.406400000014,2023-05-28T11:08:14.199Z,32.7737976,35.0249185,-1.014,0.822,0.7,8548,40094.199,3.07,2,MSLV
33769.69980000002,2023-05-28T11:08:14.298Z,32.7737977,35.0249182,-0.961,0.726,0.82,8548,40094.299,3.07,2,MSLV
33869.99320000002,2023-05-28T11:08:14.398Z,32.773798,35.0249176,-0.972,0.731,0.73,8548,40094.399,3.07,2,MSLV
33970.28660000002,2023-05-28T11:08:14.499Z,32.7737987,35.0249172,-0.917,0.801,0.73,8548,40094.499,3.07,2,MSLV
34070.58,2023-05-28T11:08:14.599Z,32.7737989,35.0249171,-0.903,0.678,0.8,8548,40094.599,3.07,2,MSLV
34170.2808,2023-05-28T11:08:14.699Z,32.7737991,35.0249166,-0.912,0.665,0.68,8548,40094.699,3.07,2,MSLV
34269.9816,2023-05-28T11:08:14.798Z,32.7737995,35.0249164,-0.936,0.611,0.66,8548,40094.799,3.07,2,MSLV
34369.6824,2023-05-28T11:08:14.898Z,32.7737997,35.0249163,-0.958,0.524,0.61,8548,40094.899,3.07,2,MSLV
34469.3832,2023-05-28T11:08:15.000Z,32.7737999,35.0249161,-1.005,0.476,0.52,8548,40095,3.07,2,MSLV
34569.083999999995,2023-05-28T11:08:15.099Z,32.7738001,35.024916,-1.013,0.415,0.48,8548,40095.099,3.07,2,MSLV
34668.784799999994,2023-05-28T11:08:15.199Z,32.7738002,35.0249158,-1.088,0.373,0.42,8548,40095.199,3.07,2,MSLV
34768.48559999999,2023-05-28T11:08:15.298Z,32.7738003,35.0249157,-1.03,0.307,0.37,8548,40095.299,3.07,2,MSLV
34868.18639999999,2023-05-28T11:08:15.398Z,32.7738004,35.0249157,-1.08,0.256,0.31,8548,40095.399,3.07,2,MSLV
34967.88719999999,2023-05-28T11:08:15.499Z,32.7738003,35.0249157,-1.119,0.183,0.26,8548,40095.499,3.07,2,MSLV
35067.588,2023-05-28T11:08:15.599Z,32.7738005,35.0249156,-1.117,0.206,0.18,8548,40095.599,3.07,2,MSLV
35168.050800000005,2023-05-28T11:08:15.699Z,32.7738006,35.0249156,-1.107,0.203,0.21,8548,40095.699,3.07,2,MSLV
35268.513600000006,2023-05-28T11:08:15.798Z,32.7738006,35.0249154,-1.095,0.208,0.2,8548,40095.799,3.07,2,MSLV
35368.97640000001,2023-05-28T11:08:15.898Z,32.7738008,35.0249152,-1.075,0.25,0.21,8548,40095.899,3.07,2,MSLV
35469.43920000001,2023-05-28T11:08:16.000Z,32.7738008,35.0249148,-1.102,0.297,0.25,8548,40096,3.07,2,MSLV
35569.90200000001,2023-05-28T11:08:16.099Z,32.7738011,35.0249147,-1.14,0.313,0.3,8548,40096.099,3.07,2,MSLV
35670.36480000001,2023-05-28T11:08:16.199Z,32.7738013,35.0249144,-1.155,0.371,0.31,8548,40096.199,3.07,2,MSLV
35770.82760000001,2023-05-28T11:08:16.298Z,32.7738017,35.024914,-1.14,0.465,0.37,8548,40096.299,3.07,2,MSLV
35871.29040000001,2023-05-28T11:08:16.398Z,32.7738021,35.0249135,-1.153,0.51,0.47,8548,40096.399,3.07,2,MSLV
35971.753200000014,2023-05-28T11:08:16.499Z,32.7738023,35.0249131,-1.119,0.519,0.51,8548,40096.499,3.07,2,MSLV
49072.764,2023-05-28T11:08:29.599Z,32.7746017,35.0244222,213.237,0.188,0.1,8548,40109.599,7.6,3,MSLV
49273.312000000005,2023-05-28T11:08:29.699Z,32.774602,35.0244222,213.228,0.213,0.2,8548,40109.699,7.6,3,MSLV
49473.86000000001,2023-05-28T11:08:29.798Z,32.7746019,35.0244221,213.204,0.042,0.22,8548,40109.799,7.6,3,MSLV
49674.40800000001,2023-05-28T11:08:29.898Z,32.7746021,35.0244217,213.264,0.204,0.05,8548,40109.899,7.6,3,MSLV
49874.95600000001,2023-05-28T11:08:30.000Z,32.7746024,35.0244213,213.261,0.406,0.21,8548,40110,7.6,3,MSLV
50075.504,2023-05-28T11:08:30.599Z,32.7746091,35.0244068,217.23,0.552,0.7,8548,40110.599,2.03,3,MSLV
50175.3584,2023-05-28T11:08:30.699Z,32.7746099,35.0244052,217.567,0.602,0.56,8548,40110.699,2.03,3,MSLV
50275.212799999994,2023-05-28T11:08:30.798Z,32.7746106,35.0244036,217.89,0.631,0.6,8548,40110.799,2.03,3,MSLV
50375.06719999999,2023-05-28T11:08:30.898Z,32.7746113,35.0244021,218.224,0.659,0.63,8548,40110.899,2.03,3,MSLV
50474.92159999999,2023-05-28T11:08:31.000Z,32.7746119,35.0244007,218.437,0.704,0.66,8548,40111,2.03,3,MSLV
50574.77599999998,2023-05-28T11:08:31.099Z,32.7746125,35.0243996,218.618,0.592,0.7,8548,40111.099,2.03,3,MSLV
50674.63039999998,2023-05-28T11:08:31.199Z,32.7746128,35.0243986,218.796,0.435,0.59,8548,40111.199,2.03,3,MSLV
50774.48479999998,2023-05-28T11:08:31.298Z,32.7746133,35.0243976,218.949,0.618,0.44,8548,40111.299,2.03,3,MSLV
50874.33919999997,2023-05-28T11:08:31.398Z,32.7746134,35.0243969,219.018,0.243,0.62,8548,40111.399,2.03,3,MSLV
50974.19359999997,2023-05-28T11:08:31.499Z,32.7746136,35.0243963,219.124,0.182,0.24,8548,40111.499,2.03,3,MSLV
51074.048,2023-05-28T11:08:31.599Z,32.7746137,35.0243957,219.194,0.247,0.19,8548,40111.599,2.03,3,MSLV
