cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
101.861,2023-05-28T11:12:32.499Z,32.7744355,35.0245949,221.786,0.059,0.13,8548,40352.499,1.71,3,MSLV
201.94888888888892,2023-05-28T11:12:32.599Z,32.7744356,35.0245948,221.782,0.066,0.09,8548,40352.599,1.71,3,MSLV
302.03677777777784,2023-05-28T11:12:32.699Z,32.7744356,35.0245948,221.799,0.077,0.09,8548,40352.699,1.71,3,MSLV
402.1246666666667,2023-05-28T11:12:32.798Z,32.7744355,35.024595,221.734,0.051,0.08,8548,40352.799,1.71,3,MSLV
502.2125555555556,2023-05-28T11:12:32.898Z,32.7744356,35.0245948,221.792,0.066,0.1,8548,40352.899,1.71,3,MSLV
602.3004444444445,2023-05-28T11:12:33.000Z,32.7744356,35.0245948,221.773,0.022,0.07,8548,40353,1.71,3,MSLV
702.3883333333333,2023-05-28T11:12:33.099Z,32.7744357,35.0245948,221.778,0.03,0.04,8548,40353.099,1.71,3,MSLV
802.4762222222222,2023-05-28T11:12:33.199Z,32.7744356,35.0245947,221.763,0.106,0.03,8548,40353.199,1.71,3,MSLV
902.5641111111111,2023-05-28T11:12:33.298Z,32.7744358,35.0245947,221.776,0.102,0.11,8548,40353.299,1.71,3,MSLV
1002.652,2023-05-28T11:12:33.398Z,32.774436,35.0245947,221.78,0.12,0.1,8548,40353.399,1.71,3,MSLV
1102.7914,2023-05-28T11:12:33.499Z,32.7744359,35.0245946,221.774,0.155,0.12,8548,40353.499,1.71,3,MSLV
1202.9308,2023-05-28T11:12:33.599Z,32.7744358,35.0245943,221.749,0.288,0.16,8548,40353.599,1.71,3,MSLV
1303.0702,2023-05-28T11:12:33.699Z,32.774436,35.0245944,221.749,0.137,0.29,8548,40353.699,1.71,3,MSLV
1403.2096000000001,2023-05-28T11:12:33.798Z,32.7744361,35.0245945,221.743,0.113,0.14,8548,40353.799,1.71,3,MSLV
1503.3490000000002,2023-05-28T11:12:33.898Z,32.7744361,35.0245944,221.73,0.101,0.11,8548,40353.899,1.71,3,MSLV
1603.4884000000002,2023-05-28T11:12:34.000Z,32.7744362,35.0245944,221.734,0.016,0.1,8548,40354,1.71,3,MSLV
1703.6278000000002,2023-05-28T11:12:34.099Z,32.7744362,35.0245945,221.724,0.036,0.02,8548,40354.099,1.71,3,MSLV
1803.7672000000002,2023-05-28T11:12:34.199Z,32.7744363,35.0245945,221.709,0.056,0.04,8548,40354.199,1.71,3,MSLV
1903.9066000000003,2023-05-28T11:12:34.298Z,32.7744364,35.0245945,221.708,0.067,0.06,8548,40354.299,1.71,3,MSLV
2004.046,2023-05-28T11:12:34.398Z,32.7744365,35.0245946,221.704,0.1,0.07,8548,40354.399,1.71,3,MSLV
2103.9725,2023-05-28T11:12:34.499Z,32.7744365,35.0245947,221.695,0.058,0.1,8548,40354.499,1.71,3,MSLV
2203.899,2023-05-28T11:12:34.599Z,32.7744365,35.0245947,221.675,0.063,0.06,8548,40354.599,1.71,3,MSLV
2303.8255,2023-05-28T11:12:34.699Z,32.7744365,35.0245947,221.664,0.045,0.06,8548,40354.699,1.71,3,MSLV
2403.752,2023-05-28T11:12:34.798Z,32.7744366,35.0245947,221.651,0.033,0.05,8548,40354.799,1.71,3,MSLV
