cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
75.928,2023-05-28T11:12:44.298Z,32.7744727,35.0246071,214.183,0.054,0.05,8548,40364.299,1.89,3,MSLV
175.6954,2023-05-28T11:12:44.398Z,32.7744728,35.0246073,214.209,0.133,0.06,8548,40364.399,1.89,3,MSLV
275.4628,2023-05-28T11:12:44.499Z,32.7744729,35.0246073,214.222,0.144,0.14,8548,40364.499,1.81,3,MSLV
375.2302,2023-05-28T11:12:44.599Z,32.7744726,35.0246074,214.192,0.177,0.15,8548,40364.599,1.81,3,MSLV
474.99760000000003,2023-05-28T11:12:44.699Z,32.7744727,35.0246074,214.181,0.16,0.18,8548,40364.699,1.81,3,MSLV
574.7650000000001,2023-05-28T11:12:44.798Z,32.7744726,35.0246074,214.205,0.109,0.16,8548,40364.799,1.81,3,MSLV
674.5324,2023-05-28T11:12:44.898Z,32.7744726,35.0246074,214.167,0.116,0.11,8548,40364.899,1.81,3,MSLV
774.2998,2023-05-28T11:12:45.000Z,32.7744725,35.0246074,214.218,0.119,0.12,8548,40365,1.81,3,MSLV
874.0672,2023-05-28T11:12:45.099Z,32.7744723,35.0246076,214.221,0.199,0.13,8548,40365.099,1.81,3,MSLV
973.8345999999999,2023-05-28T11:12:45.199Z,32.7744723,35.0246075,214.231,0.067,0.21,8548,40365.199,1.81,3,MSLV
1073.602,2023-05-28T11:12:45.298Z,32.7744725,35.0246072,214.198,0.427,0.1,8548,40365.299,1.81,3,MSLV
1173.6082000000001,2023-05-28T11:12:45.398Z,32.7744723,35.0246071,214.196,0.166,0.43,8548,40365.399,1.81,3,MSLV
1273.6144000000002,2023-05-28T11:12:45.499Z,32.7744722,35.0246071,214.182,0.104,0.17,8548,40365.499,1.81,3,MSLV
1373.6206000000002,2023-05-28T11:12:45.599Z,32.7744722,35.0246071,214.186,0.093,0.1,8548,40365.599,1.81,3,MSLV
1473.6268000000002,2023-05-28T11:12:45.699Z,32.7744722,35.024607,214.197,0.079,0.09,8548,40365.699,1.81,3,MSLV
1573.6330000000003,2023-05-28T11:12:45.798Z,32.7744722,35.0246069,214.203,0.164,0.08,8548,40365.799,1.81,3,MSLV
1673.6392000000003,2023-05-28T11:12:45.898Z,32.7744721,35.0246067,214.202,0.193,0.17,8548,40365.899,1.89,3,MSLV
1773.6454000000003,2023-05-28T11:12:46.000Z,32.7744723,35.0246068,214.219,0.11,0.19,8548,40366,1.81,3,MSLV
